TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,64,60,0,0,200190,0.20019
1024,64,60,0,20,206863,0.206863
1024,64,60,0,40,207393,0.207393
1024,64,60,0,30,207834,0.207834
1024,64,60,0,60,207854,0.207854
1024,64,60,0,70,209778,0.209778
1024,64,60,0,100,211340,0.21134
1024,64,60,0,50,215568,0.215568
1024,64,60,0,90,222361,0.222361
1024,64,60,0,80,226339,0.226339
1024,64,60,0,10,307428,0.307428
2048,64,60,0,0,330451,0.330451
2048,64,60,0,30,337343,0.337343
2048,64,60,0,90,349526,0.349526
1024,32,60,0,0,350487,0.350487
1024,32,60,0,80,354706,0.354706
1024,32,60,0,10,361759,0.361759
1024,32,60,0,90,368411,0.368411
2048,64,60,0,50,369573,0.369573
1024,32,60,0,50,374442,0.374442
2048,64,60,0,10,375354,0.375354
2048,64,60,0,80,376035,0.376035
1024,2,60,0,60,377648,0.377648
2048,64,60,0,20,379973,0.379973
2048,64,60,0,70,381205,0.381205
1024,2,60,0,90,383268,0.383268
2048,64,60,0,100,386465,0.386465
2048,64,60,0,40,387316,0.387316
2048,2,60,0,0,388358,0.388358
1024,32,60,0,40,388678,0.388678
1024,32,60,0,20,388818,0.388818
1024,32,60,0,70,389500,0.3895
2048,64,60,0,60,390441,0.390441
4096,2,60,0,30,390642,0.390642
2048,2,60,0,20,391614,0.391614
2048,2,60,0,100,392906,0.392906
8192,2,60,0,80,393798,0.393798
1024,2,60,0,10,394489,0.394489
4096,2,60,0,20,395160,0.39516
2048,2,60,0,50,397304,0.397304
4096,2,60,0,60,398646,0.398646
1024,32,60,0,30,398707,0.398707
2048,2,60,0,80,400370,0.40037
4096,2,60,0,50,400450,0.40045
1024,2,60,0,70,400941,0.400941
8192,2,60,0,70,402785,0.402785
4096,2,60,0,80,403115,0.403115
1024,2,60,0,0,403226,0.403226
1024,16,60,0,100,403446,0.403446
1024,32,60,0,100,404528,0.404528
1024,2,60,0,100,404899,0.404899
8192,2,60,0,60,405380,0.40538
8192,2,60,0,0,405519,0.405519
4096,2,60,0,0,405980,0.40598
1024,2,60,0,20,406772,0.406772
2048,2,60,0,10,407483,0.407483
2048,2,60,0,70,407533,0.407533
1024,16,60,0,20,409236,0.409236
1024,2,60,0,40,409887,0.409887
1024,16,60,0,80,409998,0.409998
2048,2,60,0,60,410719,0.410719
4096,2,60,0,90,411660,0.41166
8192,2,60,0,20,412553,0.412553
2048,32,60,0,0,413304,0.413304
2048,2,60,0,30,415417,0.415417
1024,2,60,0,50,417081,0.417081
2048,32,60,0,50,417552,0.417552
8192,2,60,0,50,419285,0.419285
2048,32,60,0,90,419826,0.419826
2048,2,60,0,90,420327,0.420327
2048,2,60,0,40,421189,0.421189
4096,2,60,0,100,421469,0.421469
1024,16,60,0,40,421930,0.42193
8192,2,60,0,40,422671,0.422671
2048,32,60,0,60,423332,0.423332
2048,32,60,0,20,424755,0.424755
1024,2,60,0,30,424815,0.424815
2048,32,60,0,30,425486,0.425486
8192,2,60,0,10,427109,0.427109
8192,2,60,0,100,427209,0.427209
1024,16,60,0,70,427360,0.42736
1024,2,60,0,80,428332,0.428332
4096,2,60,0,10,428502,0.428502
2048,32,60,0,40,429013,0.429013
1024,16,60,0,90,429544,0.429544
4096,2,60,0,40,430095,0.430095
1024,16,60,0,10,432239,0.432239
2048,32,60,0,10,432960,0.43296
4096,64,60,0,10,433220,0.43322
4096,64,60,0,50,434603,0.434603
4096,64,60,0,20,435004,0.435004
4096,64,60,0,80,435796,0.435796
4096,64,60,0,40,435816,0.435816
4096,64,60,0,60,436176,0.436176
4096,64,60,0,0,436957,0.436957
4096,64,60,0,100,437028,0.437028
1024,16,60,0,0,437288,0.437288
4096,2,60,0,70,440605,0.440605
2048,32,60,0,80,441606,0.441606
1024,16,60,0,60,443299,0.443299
2048,32,60,0,70,446125,0.446125
1024,16,60,0,50,447066,0.447066
4096,64,60,0,70,447768,0.447768
4096,64,60,0,90,449260,0.44926
1024,16,60,0,30,451254,0.451254
1024,8,60,0,100,466031,0.466031
4096,64,60,0,30,466512,0.466512
8192,2,60,0,30,470420,0.47042
1024,8,60,0,10,484144,0.484144
1024,4,60,0,0,486569,0.486569
1024,8,60,0,80,492320,0.49232
1024,8,60,0,90,493022,0.493022
1024,8,60,0,0,493031,0.493031
1024,8,60,0,60,499603,0.499603
4096,4,60,0,0,500264,0.500264
1024,8,60,0,20,503149,0.503149
1024,32,60,0,60,506166,0.506166
1024,8,60,0,70,508820,0.50882
4096,32,60,0,100,509101,0.509101
1024,8,60,0,40,514511,0.514511
2048,32,60,0,100,516364,0.516364
1024,8,60,0,30,518808,0.518808
8192,64,60,0,100,524739,0.524739
8192,4,60,0,0,524920,0.52492
1024,8,60,0,50,526042,0.526042
2048,4,60,0,0,527866,0.527866
8192,64,60,0,0,529489,0.529489
2048,16,60,0,30,530040,0.53004
4096,32,60,0,40,532554,0.532554
8192,64,60,0,60,533196,0.533196
8192,4,60,0,60,535760,0.53576
1024,4,60,0,100,538185,0.538185
8192,64,60,0,20,541491,0.541491
4096,32,60,0,80,542062,0.542062
4096,32,60,0,0,544366,0.544366
8192,64,60,0,40,545989,0.545989
4096,32,60,0,90,549366,0.549366
8192,64,60,0,50,549696,0.549696
4096,4,60,0,100,550287,0.550287
4096,32,60,0,10,551610,0.55161
2048,16,60,0,0,551890,0.55189
4096,32,60,0,70,551950,0.55195
2048,4,60,0,10,553543,0.553543
2048,16,60,0,90,554475,0.554475
2048,16,60,0,60,554575,0.554575
1024,4,60,0,60,554835,0.554835
1024,4,60,0,70,556439,0.556439
2048,16,60,0,10,556509,0.556509
4096,32,60,0,60,556589,0.556589
2048,4,60,0,30,557741,0.557741
4096,4,60,0,70,558221,0.558221
2048,4,60,0,50,559585,0.559585
2048,4,60,0,60,561077,0.561077
2048,4,60,0,80,561097,0.561097
1024,4,60,0,40,561778,0.561778
8192,64,60,0,10,562730,0.56273
2048,4,60,0,70,563712,0.563712
1024,4,60,0,20,563752,0.563752
8192,64,60,0,70,564694,0.564694
4096,32,60,0,50,564884,0.564884
1024,4,60,0,80,566727,0.566727
2048,4,60,0,90,567018,0.567018
8192,64,60,0,30,568541,0.568541
8192,4,60,0,30,568701,0.568701
1024,4,60,0,50,568931,0.568931
8192,64,60,0,90,569132,0.569132
