TamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,segundos
4096,64,40,0,10,362280,0.36228
1024,16,40,0,0,365326,0.365326
2048,32,40,0,10,366818,0.366818
4096,64,40,0,90,368431,0.368431
4096,64,40,0,80,368501,0.368501
2048,2,40,0,20,374803,0.374803
4096,64,40,0,60,375183,0.375183
4096,8,40,0,70,375785,0.375785
2048,8,40,0,90,377117,0.377117
4096,64,40,0,50,380163,0.380163
1024,8,40,0,80,382507,0.382507
2048,8,40,0,80,383819,0.383819
4096,64,40,0,70,385302,0.385302
2048,8,40,0,40,386184,0.386184
1024,8,40,0,0,387196,0.387196
4096,8,40,0,60,387486,0.387486
8192,8,40,0,100,387856,0.387856
4096,8,40,0,90,388087,0.388087
2048,8,40,0,20,388168,0.388168
4096,8,40,0,20,388819,0.388819
1024,8,40,0,30,389179,0.389179
4096,8,40,0,50,390622,0.390622
2048,8,40,0,60,391624,0.391624
8192,8,40,0,70,391785,0.391785
4096,16,40,0,60,391834,0.391834
1024,8,40,0,100,391974,0.391974
2048,8,40,0,0,392816,0.392816
1024,8,40,0,40,393216,0.393216
2048,8,40,0,100,393397,0.393397
2048,8,40,0,50,393658,0.393658
1024,8,40,0,50,394219,0.394219
2048,8,40,0,70,394620,0.39462
8192,8,40,0,90,394870,0.39487
1024,8,40,0,70,394880,0.39488
2048,8,40,0,10,396573,0.396573
1024,8,40,0,10,396693,0.396693
4096,8,40,0,30,396863,0.396863
8192,8,40,0,60,399117,0.399117
2048,16,40,0,60,399698,0.399698
4096,16,40,0,90,399879,0.399879
8192,16,40,0,40,399929,0.399929
8192,16,40,0,70,400380,0.40038
4096,8,40,0,80,400571,0.400571
4096,8,40,0,100,400620,0.40062
8192,32,40,0,20,400620,0.40062
4096,16,40,0,10,401241,0.401241
8192,16,40,0,20,401752,0.401752
8192,8,40,0,20,401763,0.401763
2048,16,40,0,40,401963,0.401963
8192,8,40,0,80,402103,0.402103
2048,16,40,0,30,403606,0.403606
4096,32,40,0,100,404037,0.404037
8192,8,40,0,10,405089,0.405089
8192,16,40,0,50,405930,0.40593
8192,16,40,0,80,406201,0.406201
2048,16,40,0,90,406561,0.406561
8192,16,40,0,30,406782,0.406782
4096,16,40,0,40,406922,0.406922
4096,16,40,0,70,407764,0.407764
4096,8,40,0,0,407803,0.407803
2048,16,40,0,10,408445,0.408445
4096,16,40,0,20,408465,0.408465
1024,8,40,0,90,409447,0.409447
2048,16,40,0,100,409857,0.409857
8192,8,40,0,30,411080,0.41108
4096,8,40,0,10,411250,0.41125
8192,8,40,0,50,411360,0.41136
4096,32,40,0,90,411580,0.41158
2048,16,40,0,50,412442,0.412442
4096,8,40,0,40,413654,0.413654
4096,32,40,0,60,413845,0.413845
8192,8,40,0,40,414095,0.414095
8192,16,40,0,100,414215,0.414215
8192,16,40,0,0,414486,0.414486
8192,32,40,0,90,416049,0.416049
4096,32,40,0,0,416369,0.416369
2048,16,40,0,20,416400,0.4164
1024,8,40,0,60,417702,0.417702
8192,8,40,0,0,417952,0.417952
2048,8,40,0,30,418424,0.418424
2048,16,40,0,80,419305,0.419305
8192,64,40,0,50,419325,0.419325
4096,16,40,0,100,419996,0.419996
1024,8,40,0,20,420567,0.420567
8192,64,40,0,100,420777,0.420777
2048,16,40,0,0,421229,0.421229
8192,32,40,0,10,421499,0.421499
2048,16,40,0,70,421710,0.42171
8192,16,40,0,90,421719,0.421719
4096,32,40,0,70,422140,0.42214
8192,64,40,0,90,422791,0.422791
4096,32,40,0,30,423122,0.423122
8192,64,40,0,60,423673,0.423673
8192,64,40,0,80,423783,0.423783
8192,32,40,0,70,423953,0.423953
8192,16,40,0,60,424485,0.424485
4096,32,40,0,20,425046,0.425046
4096,16,40,0,80,425706,0.425706
8192,64,40,0,40,426127,0.426127
4096,32,40,0,80,426899,0.426899
8192,16,40,0,10,427220,0.42722
8192,32,40,0,100,427811,0.427811
4096,32,40,0,10,427961,0.427961
8192,32,40,0,40,428282,0.428282
8192,64,40,0,0,428542,0.428542
