TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,64,20,0,50,103621,0.103621
1024,64,20,0,90,103872,0.103872
1024,64,20,0,60,104994,0.104994
1024,64,20,0,40,106557,0.106557
1024,64,20,0,80,107158,0.107158
1024,64,20,0,20,107699,0.107699
1024,64,20,0,0,108000,0.108
1024,64,20,0,70,108250,0.10825
1024,64,20,0,100,108670,0.10867
1024,64,20,0,30,110264,0.110264
1024,64,20,0,10,122707,0.122707
1024,2,20,0,0,143405,0.143405
1024,2,20,0,100,145239,0.145239
1024,2,20,0,70,149056,0.149056
8192,2,20,0,10,150829,0.150829
1024,2,20,0,50,151300,0.1513
1024,2,20,0,40,151560,0.15156
2048,2,20,0,50,151941,0.151941
1024,2,20,0,20,152792,0.152792
2048,2,20,0,70,152942,0.152942
4096,2,20,0,80,153103,0.153103
4096,2,20,0,10,154015,0.154015
2048,2,20,0,80,154415,0.154415
2048,2,20,0,10,154837,0.154837
1024,2,20,0,60,155017,0.155017
8192,2,20,0,0,155157,0.155157
4096,2,20,0,50,155246,0.155246
1024,2,20,0,90,155778,0.155778
4096,2,20,0,0,155868,0.155868
4096,2,20,0,40,156299,0.156299
8192,2,20,0,20,156519,0.156519
2048,2,20,0,60,156940,0.15694
2048,2,20,0,90,157471,0.157471
2048,2,20,0,30,157531,0.157531
8192,2,20,0,50,157631,0.157631
2048,2,20,0,0,157632,0.157632
8192,2,20,0,70,157762,0.157762
2048,2,20,0,100,157772,0.157772
4096,2,20,0,30,157982,0.157982
4096,2,20,0,20,158243,0.158243
4096,4,20,0,40,158362,0.158362
2048,4,20,0,80,158422,0.158422
2048,2,20,0,20,158734,0.158734
1024,4,20,0,40,158784,0.158784
1024,4,20,0,60,159004,0.159004
1024,2,20,0,80,159184,0.159184
8192,2,20,0,40,159355,0.159355
2048,4,20,0,0,159685,0.159685
4096,2,20,0,60,159795,0.159795
1024,4,20,0,80,159855,0.159855
4096,4,20,0,0,160397,0.160397
4096,4,20,0,80,160637,0.160637
8192,2,20,0,30,160657,0.160657
2048,4,20,0,100,161258,0.161258
8192,4,20,0,30,161609,0.161609
2048,8,20,0,0,161618,0.161618
8192,2,20,0,60,161619,0.161619
1024,4,20,0,20,161970,0.16197
2048,4,20,0,10,162020,0.16202
1024,4,20,0,50,162160,0.16216
4096,2,20,0,100,162230,0.16223
1024,8,20,0,20,162260,0.16226
2048,4,20,0,40,162280,0.16228
1024,4,20,0,90,162411,0.162411
2048,4,20,0,50,163162,0.163162
