tamanhoBuffer,min,max,numExecucao,numRemocao,numCompactacao,garbagePercent,bloco,tamanhoMedioReq,tamanhoMedioBloco,tempo
16384,16,1024,1000,97303,974,10,1,527,527,3944400244
16384,16,1024,1000,120864,967,10,1,528,528,4907389058
16384,16,1024,1000,99241,960,10,1,512,512,3985090537
16384,16,1024,1000,126091,968,10,1,520,520,5184923631
16384,16,1024,1000,117845,965,10,1,501,501,4867203995
1024,16,1024,1000,19138,997,20,1,515,515,218293691
1024,16,1024,1000,16009,998,20,1,515,515,175111612
1024,16,1024,1000,23293,997,20,1,497,497,185314377
1024,16,1024,1000,18228,998,20,1,524,524,158502632
1024,16,1024,1000,14499,997,20,1,511,511,147599091
1024,16,1024,1000,21170,997,20,1,502,502,196188588
1024,16,1024,1000,16745,997,20,1,524,524,167750504
1024,16,1024,1000,15908,996,20,1,524,524,161062190
1024,16,1024,1000,16781,998,20,1,516,516,154064905
1024,16,1024,1000,20852,997,20,1,504,504,187431673
2048,16,1024,1000,90524,995,20,1,523,523,911739663
2048,16,1024,1000,92571,997,20,1,528,528,1021216620
2048,16,1024,1000,93460,997,20,1,512,512,987158075
2048,16,1024,1000,100020,997,20,1,515,515,1053799245
2048,16,1024,1000,102560,995,20,1,509,509,1085821468
2048,16,1024,1000,95216,995,20,1,527,527,1037670347
2048,16,1024,1000,86894,996,20,1,518,518,904728753
2048,16,1024,1000,86225,997,20,1,520,520,934091129
2048,16,1024,1000,93246,994,20,1,519,519,971045000
2048,16,1024,1000,99611,996,20,1,499,499,1059963630
4096,16,1024,1000,149575,995,20,1,521,521,2381347584
4096,16,1024,1000,162343,992,20,1,515,515,2627250764
4096,16,1024,1000,145965,993,20,1,518,518,2277987038
4096,16,1024,1000,154555,991,20,1,526,526,2588375900
4096,16,1024,1000,141088,990,20,1,497,497,2241983513
4096,16,1024,1000,143328,995,20,1,530,530,2353620634
4096,16,1024,1000,156975,992,20,1,517,517,2488520494
4096,16,1024,1000,151852,993,20,1,523,523,2435062942
4096,16,1024,1000,153975,990,20,1,517,517,2471998707
4096,16,1024,1000,162858,991,20,1,515,515,2641334062
8192,16,1024,1000,81107,980,20,1,506,506,1952834610
