tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao
1024,2,1,0,0.0,73065
1024,2,1,0,10.0,70501
1024,2,1,0,20.0,74127
1024,2,1,0,30.0,73486
1024,2,1,0,40.0,73345
1024,2,1,0,50.0,72264
1024,2,1,0,60.0,72494
1024,2,1,0,70.0,73225
1024,2,1,0,80.0,90958
1024,2,1,0,90.0,72664
