TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
4096,16,1000000,1,0,963100,0.9631
2048,32,1000000,1,40,965324,0.965324
8192,2,1000000,1,10,986774,0.986774
2048,16,1000000,1,0,990351,0.990351
8192,32,1000000,1,20,1005518,1.005518
1024,8,1000000,1,10,1021388,1.021388
8192,2,1000000,1,30,1026938,1.026938
4096,4,1000000,1,50,1027209,1.027209
8192,8,1000000,1,20,1029042,1.029042
4096,4,1000000,1,60,1029672,1.029672
2048,8,1000000,1,20,1031456,1.031456
2048,4,1000000,1,20,1032028,1.032028
4096,16,1000000,1,30,1033169,1.033169
1024,4,1000000,1,70,1033500,1.0335
2048,16,1000000,1,40,1033730,1.03373
2048,4,1000000,1,0,1033871,1.033871
4096,16,1000000,1,80,1035904,1.035904
1024,2,1000000,1,0,1036616,1.036616
8192,8,1000000,1,100,1038930,1.03893
8192,2,1000000,1,20,1039141,1.039141
1024,4,1000000,1,80,1042246,1.042246
8192,32,1000000,1,40,1043338,1.043338
4096,8,1000000,1,10,1044240,1.04424
1024,4,1000000,1,0,1044891,1.044891
4096,4,1000000,1,0,1045562,1.045562
8192,8,1000000,1,0,1047205,1.047205
1024,2,1000000,1,20,1049940,1.04994
8192,4,1000000,1,30,1050902,1.050902
8192,32,1000000,1,30,1052325,1.052325
8192,4,1000000,1,20,1053857,1.053857
1024,8,1000000,1,0,1054629,1.054629
2048,16,1000000,1,20,1057454,1.057454
2048,8,1000000,1,30,1060219,1.060219
1024,16,1000000,1,0,1063164,1.063164
4096,4,1000000,1,10,1068705,1.068705
1024,4,1000000,1,50,1069787,1.069787
8192,2,1000000,1,100,1071270,1.07127
2048,16,1000000,1,80,1072202,1.072202
2048,2,1000000,1,0,1072221,1.072221
8192,32,1000000,1,10,1072902,1.072902
2048,16,1000000,1,70,1073293,1.073293
8192,32,1000000,1,50,1074015,1.074015
2048,16,1000000,1,60,1075167,1.075167
4096,2,1000000,1,0,1075618,1.075618
4096,8,1000000,1,0,1075748,1.075748
2048,16,1000000,1,90,1076559,1.076559
1024,16,1000000,1,10,1077341,1.077341
4096,8,1000000,1,40,1078053,1.078053
8192,32,1000000,1,0,1085717,1.085717
2048,16,1000000,1,10,1087280,1.08728
8192,16,1000000,1,0,1087851,1.087851
1024,4,1000000,1,100,1088822,1.088822
4096,4,1000000,1,80,1091818,1.091818
8192,32,1000000,1,90,1092569,1.092569
1024,4,1000000,1,40,1094132,1.094132
4096,32,1000000,1,10,1094242,1.094242
8192,64,1000000,1,10,1095845,1.095845
1024,4,1000000,1,10,1096136,1.096136
8192,64,1000000,1,70,1096186,1.096186
4096,8,1000000,1,50,1097177,1.097177
1024,4,1000000,1,60,1101235,1.101235
4096,16,1000000,1,20,1106715,1.106715
