TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,16,30,1,90,808554,0.808554
1024,64,30,1,60,808705,0.808705
4096,64,30,1,70,809075,0.809075
2048,8,30,1,40,810087,0.810087
8192,2,30,1,70,810669,0.810669
1024,2,30,1,10,811289,0.811289
8192,4,30,1,50,811289,0.811289
8192,2,30,1,20,812872,0.812872
4096,64,30,1,80,813813,0.813813
2048,32,30,1,100,815627,0.815627
1024,8,30,1,60,816509,0.816509
1024,8,30,1,50,816739,0.816739
8192,64,30,1,60,817381,0.817381
1024,8,30,1,70,817901,0.817901
4096,32,30,1,90,819985,0.819985
1024,32,30,1,50,820697,0.820697
4096,32,30,1,80,820697,0.820697
2048,2,30,1,30,821007,0.821007
2048,32,30,1,40,821218,0.821218
4096,8,30,1,50,821699,0.821699
1024,16,30,1,60,821739,0.821739
1024,32,30,1,30,821799,0.821799
1024,4,30,1,20,821919,0.821919
8192,32,30,1,100,822019,0.822019
4096,4,30,1,50,822670,0.82267
4096,4,30,1,70,823852,0.823852
8192,8,30,1,100,824124,0.824124
4096,8,30,1,100,826207,0.826207
2048,8,30,1,50,826217,0.826217
2048,2,30,1,90,826528,0.826528
1024,32,30,1,40,827389,0.827389
8192,64,30,1,30,827409,0.827409
4096,2,30,1,60,827419,0.827419
8192,32,30,1,10,827459,0.827459
4096,32,30,1,30,828371,0.828371
8192,2,30,1,90,828581,0.828581
2048,2,30,1,80,828651,0.828651
4096,2,30,1,90,829183,0.829183
8192,2,30,1,80,829263,0.829263
8192,16,30,1,50,829563,0.829563
1024,32,30,1,10,829694,0.829694
4096,4,30,1,40,829703,0.829703
4096,32,30,1,70,829784,0.829784
2048,4,30,1,90,829884,0.829884
1024,64,30,1,50,830074,0.830074
4096,4,30,1,80,830334,0.830334
4096,8,30,1,30,830886,0.830886
1024,2,30,1,0,831136,0.831136
2048,4,30,1,50,831416,0.831416
1024,8,30,1,100,832078,0.832078
2048,4,30,1,20,832629,0.832629
2048,32,30,1,60,832639,0.832639
1024,8,30,1,30,833109,0.833109
8192,16,30,1,10,833510,0.83351
2048,8,30,1,60,833661,0.833661
1024,2,30,1,80,833691,0.833691
1024,4,30,1,100,833942,0.833942
8192,4,30,1,70,834172,0.834172
2048,2,30,1,20,834342,0.834342
2048,32,30,1,90,834392,0.834392
2048,32,30,1,20,834492,0.834492
2048,16,30,1,80,834643,0.834643
8192,32,30,1,40,834753,0.834753
2048,8,30,1,100,834993,0.834993
8192,8,30,1,40,835244,0.835244
2048,8,30,1,90,835745,0.835745
4096,64,30,1,10,835845,0.835845
8192,16,30,1,20,836176,0.836176
8192,8,30,1,70,836486,0.836486
2048,64,30,1,60,837157,0.837157
2048,16,30,1,50,837317,0.837317
4096,4,30,1,60,837699,0.837699
2048,64,30,1,90,838019,0.838019
4096,32,30,1,100,838349,0.838349
8192,8,30,1,60,838590,0.83859
4096,8,30,1,20,838911,0.838911
4096,64,30,1,0,839110,0.83911
1024,4,30,1,70,839502,0.839502
2048,64,30,1,10,839731,0.839731
8192,4,30,1,30,839792,0.839792
4096,8,30,1,70,839832,0.839832
8192,32,30,1,70,839983,0.839983
2048,16,30,1,60,840003,0.840003
8192,2,30,1,0,840012,0.840012
1024,16,30,1,10,840394,0.840394
1024,32,30,1,80,840473,0.840473
8192,16,30,1,40,840794,0.840794
1024,64,30,1,80,840935,0.840935
2048,4,30,1,0,841115,0.841115
2048,32,30,1,30,841145,0.841145
8192,64,30,1,50,841526,0.841526
1024,16,30,1,20,842207,0.842207
2048,8,30,1,30,842326,0.842326
2048,16,30,1,20,842417,0.842417
8192,64,30,1,20,842507,0.842507
4096,2,30,1,70,842567,0.842567
8192,16,30,1,30,842587,0.842587
1024,4,30,1,90,842607,0.842607
2048,4,30,1,60,842677,0.842677
