TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
2048,4,40,1,70,796362,0.796362
1024,32,40,1,80,796522,0.796522
2048,2,40,1,80,802052,0.802052
4096,16,40,1,40,812131,0.812131
4096,32,40,1,90,812252,0.812252
1024,16,40,1,90,812773,0.812773
1024,64,40,1,100,813593,0.813593
1024,2,40,1,10,817741,0.817741
4096,64,40,1,20,817812,0.817812
1024,16,40,1,30,821478,0.821478
8192,16,40,1,10,821518,0.821518
2048,32,40,1,70,822700,0.8227
1024,4,40,1,100,823732,0.823732
8192,16,40,1,40,825115,0.825115
8192,64,40,1,40,825376,0.825376
8192,4,40,1,40,825906,0.825906
1024,64,40,1,80,826117,0.826117
2048,8,40,1,90,826227,0.826227
8192,64,40,1,90,826688,0.826688
2048,16,40,1,20,826708,0.826708
2048,4,40,1,40,826948,0.826948
4096,32,40,1,50,826999,0.826999
8192,32,40,1,60,827409,0.827409
1024,8,40,1,70,827669,0.827669
4096,2,40,1,30,827980,0.82798
8192,8,40,1,80,828512,0.828512
1024,16,40,1,60,829513,0.829513
2048,16,40,1,30,829924,0.829924
1024,32,40,1,20,830795,0.830795
8192,64,40,1,60,830976,0.830976
1024,16,40,1,20,832839,0.832839
4096,16,40,1,30,834132,0.834132
2048,64,40,1,100,834291,0.834291
8192,16,40,1,70,834352,0.834352
4096,4,40,1,10,834973,0.834973
4096,64,40,1,100,834984,0.834984
4096,32,40,1,20,835174,0.835174
2048,4,40,1,100,835434,0.835434
8192,16,40,1,50,835544,0.835544
2048,4,40,1,50,835695,0.835695
4096,8,40,1,30,836556,0.836556
1024,64,40,1,30,837518,0.837518
4096,16,40,1,50,837527,0.837527
8192,8,40,1,90,837808,0.837808
1024,2,40,1,40,838199,0.838199
2048,64,40,1,60,838670,0.83867
1024,16,40,1,100,838840,0.83884
1024,8,40,1,20,839802,0.839802
4096,4,40,1,50,839832,0.839832
1024,4,40,1,10,839863,0.839863
4096,2,40,1,90,840233,0.840233
