TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
4096,64,60,1,20,792425,0.792425
1024,16,60,1,10,813364,0.813364
2048,64,60,1,70,818433,0.818433
4096,8,60,1,80,820577,0.820577
1024,16,60,1,80,820697,0.820697
1024,4,60,1,60,821198,0.821198
8192,4,60,1,20,821909,0.821909
1024,32,60,1,60,822119,0.822119
1024,8,60,1,30,823031,0.823031
2048,32,60,1,40,826989,0.826989
8192,32,60,1,70,827319,0.827319
2048,8,60,1,100,827600,0.8276
1024,2,60,1,100,828371,0.828371
2048,4,60,1,60,828441,0.828441
4096,64,60,1,40,828631,0.828631
8192,2,60,1,80,829032,0.829032
2048,4,60,1,20,829082,0.829082
4096,64,60,1,50,829563,0.829563
2048,8,60,1,10,830145,0.830145
8192,2,60,1,30,830324,0.830324
2048,2,60,1,80,830415,0.830415
2048,16,60,1,80,830645,0.830645
1024,8,60,1,70,831066,0.831066
4096,16,60,1,60,831066,0.831066
4096,8,60,1,50,831397,0.831397
2048,8,60,1,30,831687,0.831687
8192,16,60,1,80,833110,0.83311
2048,4,60,1,30,833170,0.83317
2048,16,60,1,40,833580,0.83358
4096,8,60,1,60,833681,0.833681
4096,8,60,1,40,834452,0.834452
8192,8,60,1,40,834722,0.834722
1024,8,60,1,40,834853,0.834853
2048,32,60,1,100,834973,0.834973
1024,4,60,1,90,835033,0.835033
1024,32,60,1,50,835234,0.835234
1024,64,60,1,20,836266,0.836266
8192,4,60,1,70,836405,0.836405
1024,32,60,1,80,836606,0.836606
8192,8,60,1,60,836896,0.836896
1024,8,60,1,10,837358,0.837358
4096,4,60,1,100,837438,0.837438
8192,32,60,1,90,837478,0.837478
1024,32,60,1,10,838279,0.838279
4096,32,60,1,100,838279,0.838279
1024,4,60,1,80,838439,0.838439
1024,16,60,1,90,838870,0.83887
4096,32,60,1,60,838951,0.838951
8192,16,60,1,60,839331,0.839331
1024,8,60,1,50,839341,0.839341
1024,2,60,1,50,839401,0.839401
2048,2,60,1,30,839452,0.839452
4096,2,60,1,60,839972,0.839972
1024,16,60,1,40,840353,0.840353
1024,64,60,1,60,840774,0.840774
2048,4,60,1,100,840814,0.840814
1024,8,60,1,60,840874,0.840874
1024,8,60,1,100,841055,0.841055
4096,4,60,1,60,842066,0.842066
2048,8,60,1,20,842106,0.842106
1024,8,60,1,0,842226,0.842226
8192,8,60,1,30,842507,0.842507
1024,4,60,1,100,842537,0.842537
2048,16,60,1,90,842818,0.842818
2048,32,60,1,60,843308,0.843308
8192,2,60,1,10,843499,0.843499
4096,16,60,1,20,843609,0.843609
4096,32,60,1,80,843719,0.843719
4096,4,60,1,70,844601,0.844601
8192,64,60,1,80,844711,0.844711
4096,32,60,1,50,844841,0.844841
8192,4,60,1,30,844961,0.844961
4096,32,60,1,90,845091,0.845091
2048,16,60,1,60,845653,0.845653
2048,8,60,1,0,845893,0.845893
8192,2,60,1,60,846184,0.846184
4096,4,60,1,80,846384,0.846384
1024,32,60,1,0,846895,0.846895
4096,8,60,1,90,847176,0.847176
2048,8,60,1,80,847216,0.847216
8192,16,60,1,90,847306,0.847306
8192,64,60,1,0,847347,0.847347
1024,8,60,1,80,847847,0.847847
2048,2,60,1,0,848007,0.848007
4096,8,60,1,20,848228,0.848228
1024,2,60,1,70,848248,0.848248
4096,64,60,1,80,848638,0.848638
4096,16,60,1,0,848888,0.848888
4096,4,60,1,30,848919,0.848919
8192,32,60,1,20,849069,0.849069
1024,16,60,1,100,849410,0.84941
8192,64,60,1,50,849470,0.84947
2048,4,60,1,70,849620,0.84962
4096,4,60,1,90,849760,0.84976
1024,2,60,1,90,849821,0.849821
2048,32,60,1,20,849830,0.84983
8192,2,60,1,40,849840,0.84984
4096,64,60,1,60,849991,0.849991
1024,4,60,1,70,850452,0.850452
4096,64,60,1,100,850561,0.850561
1024,2,60,1,40,850882,0.850882
8192,8,60,1,0,851143,0.851143
2048,32,60,1,30,851313,0.851313
4096,2,60,1,70,852235,0.852235
8192,8,60,1,50,852315,0.852315
1024,32,60,1,30,852786,0.852786
2048,16,60,1,70,853127,0.853127
2048,2,60,1,40,853287,0.853287
4096,16,60,1,10,853347,0.853347
4096,2,60,1,20,853398,0.853398
2048,32,60,1,80,853407,0.853407
8192,64,60,1,60,853468,0.853468
1024,4,60,1,10,853478,0.853478
2048,2,60,1,10,853548,0.853548
4096,64,60,1,10,853578,0.853578
2048,32,60,1,10,853668,0.853668
4096,4,60,1,20,853668,0.853668
1024,32,60,1,40,853678,0.853678
8192,4,60,1,0,853808,0.853808
4096,32,60,1,30,853858,0.853858
4096,2,60,1,0,854108,0.854108
1024,16,60,1,0,854329,0.854329
2048,2,60,1,50,854450,0.85445
1024,64,60,1,80,854640,0.85464
4096,4,60,1,50,855080,0.85508
2048,16,60,1,30,855141,0.855141
2048,64,60,1,30,855250,0.85525
8192,16,60,1,40,855531,0.855531
1024,64,60,1,70,855752,0.855752
2048,16,60,1,20,855752,0.855752
8192,32,60,1,100,855892,0.855892
8192,2,60,1,90,855962,0.855962
8192,4,60,1,40,855972,0.855972
4096,4,60,1,0,856263,0.856263
4096,2,60,1,100,856292,0.856292
4096,16,60,1,40,856343,0.856343
1024,2,60,1,0,856392,0.856392
4096,2,60,1,50,856974,0.856974
2048,16,60,1,0,857205,0.857205
4096,2,60,1,80,858086,0.858086
4096,32,60,1,0,858426,0.858426
2048,64,60,1,20,858617,0.858617
2048,2,60,1,70,858677,0.858677
8192,4,60,1,80,858947,0.858947
8192,8,60,1,20,858998,0.858998
2048,4,60,1,10,859038,0.859038
2048,16,60,1,50,859038,0.859038
1024,64,60,1,90,859058,0.859058
8192,32,60,1,80,859608,0.859608
1024,8,60,1,20,859769,0.859769
8192,16,60,1,50,860009,0.860009
2048,4,60,1,40,860130,0.86013
1024,8,60,1,90,860230,0.86023
1024,16,60,1,70,860330,0.86033
1024,16,60,1,20,860911,0.860911
1024,2,60,1,80,861192,0.861192
4096,8,60,1,100,861412,0.861412
8192,2,60,1,20,861502,0.861502
4096,8,60,1,30,861903,0.861903
1024,4,60,1,50,862114,0.862114
2048,64,60,1,10,862123,0.862123
8192,4,60,1,10,862274,0.862274
8192,2,60,1,100,862303,0.862303
1024,2,60,1,10,862324,0.862324
8192,32,60,1,50,863065,0.863065
2048,8,60,1,90,863246,0.863246
1024,4,60,1,40,863265,0.863265
4096,4,60,1,40,863396,0.863396
1024,32,60,1,70,863506,0.863506
8192,8,60,1,70,863676,0.863676
4096,64,60,1,30,863787,0.863787
8192,32,60,1,0,863817,0.863817
4096,16,60,1,90,864428,0.864428
8192,64,60,1,20,864497,0.864497
2048,8,60,1,40,864798,0.864798
1024,16,60,1,50,864879,0.864879
2048,64,60,1,60,865580,0.86558
2048,8,60,1,60,865840,0.86584
2048,32,60,1,90,866021,0.866021
2048,64,60,1,40,866621,0.866621
2048,8,60,1,50,866872,0.866872
4096,8,60,1,70,867192,0.867192
1024,2,60,1,60,867864,0.867864
8192,8,60,1,80,867904,0.867904
4096,32,60,1,40,867954,0.867954
2048,4,60,1,90,868114,0.868114
4096,8,60,1,0,868145,0.868145
1024,4,60,1,30,868475,0.868475
1024,32,60,1,100,868575,0.868575
8192,4,60,1,60,868956,0.868956
1024,32,60,1,20,869326,0.869326
1024,16,60,1,60,869707,0.869707
4096,16,60,1,70,870048,0.870048
8192,32,60,1,60,870459,0.870459
8192,4,60,1,100,871300,0.8713
4096,32,60,1,20,871390,0.87139
8192,8,60,1,90,871621,0.871621
2048,8,60,1,70,871691,0.871691
8192,2,60,1,70,872002,0.872002
8192,64,60,1,70,872162,0.872162
8192,4,60,1,50,872212,0.872212
1024,4,60,1,20,872232,0.872232
4096,64,60,1,70,872262,0.872262
8192,2,60,1,0,872553,0.872553
4096,2,60,1,90,872613,0.872613
2048,64,60,1,80,872773,0.872773
8192,16,60,1,10,873243,0.873243
2048,4,60,1,0,873334,0.873334
2048,64,60,1,50,874005,0.874005
2048,2,60,1,20,874517,0.874517
1024,64,60,1,0,874657,0.874657
8192,64,60,1,10,874746,0.874746
4096,16,60,1,100,874747,0.874747
8192,16,60,1,30,874807,0.874807
4096,2,60,1,30,875207,0.875207
8192,64,60,1,30,875358,0.875358
2048,64,60,1,100,876420,0.87642
4096,2,60,1,40,876940,0.87694
1024,2,60,1,30,876981,0.876981
4096,16,60,1,30,878213,0.878213
4096,16,60,1,80,878423,0.878423
2048,2,60,1,100,879164,0.879164
1024,64,60,1,100,879435,0.879435
2048,32,60,1,50,880157,0.880157
8192,2,60,1,50,880557,0.880557
4096,64,60,1,90,880587,0.880587
1024,64,60,1,40,881900,0.8819
2048,4,60,1,80,882040,0.88204
1024,32,60,1,90,882130,0.88213
2048,2,60,1,90,882461,0.882461
8192,64,60,1,40,883963,0.883963
2048,4,60,1,50,885977,0.885977
8192,32,60,1,40,886087,0.886087
8192,64,60,1,90,887139,0.887139
4096,4,60,1,10,888112,0.888112
1024,64,60,1,50,888182,0.888182
8192,4,60,1,90,888793,0.888793
8192,8,60,1,10,888813,0.888813
1024,16,60,1,30,890847,0.890847
4096,2,60,1,10,891217,0.891217
8192,64,60,1,100,891508,0.891508
1024,4,60,1,0,891958,0.891958
2048,64,60,1,90,893271,0.893271
8192,16,60,1,100,893812,0.893812
2048,2,60,1,60,894193,0.894193
4096,32,60,1,70,895485,0.895485
8192,32,60,1,10,895846,0.895846
8192,16,60,1,20,896266,0.896266
2048,32,60,1,0,896928,0.896928
4096,16,60,1,50,899632,0.899632
1024,2,60,1,20,901497,0.901497
4096,8,60,1,10,903349,0.903349
4096,64,60,1,0,907468,0.907468
8192,8,60,1,100,908840,0.90884
2048,16,60,1,100,909341,0.909341
2048,16,60,1,10,909471,0.909471
8192,32,60,1,30,911866,0.911866
2048,32,60,1,70,915011,0.915011
8192,16,60,1,70,916163,0.916163
2048,64,60,1,0,916523,0.916523
1024,64,60,1,30,920581,0.920581
4096,32,60,1,10,936010,0.93601
2048,2,60,2,60,964854,0.964854
1024,32,60,2,40,965194,0.965194
8192,16,60,1,0,966056,0.966056
4096,16,60,2,20,966937,0.966937
4096,2,60,2,60,967658,0.967658
1024,16,60,2,100,968630,0.96863
1024,2,60,2,20,969852,0.969852
4096,64,60,2,80,970653,0.970653
