TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
4096,2,50,1,60,804857,0.804857
8192,32,50,1,40,810528,0.810528
1024,8,50,1,70,813343,0.813343
2048,32,50,1,50,818913,0.818913
8192,16,50,1,60,822149,0.822149
8192,32,50,1,20,825125,0.825125
2048,16,50,1,50,826196,0.826196
4096,16,50,1,70,827219,0.827219
1024,2,50,1,60,827659,0.827659
2048,32,50,1,20,827900,0.8279
1024,16,50,1,90,828411,0.828411
1024,2,50,1,70,828642,0.828642
8192,64,50,1,70,829553,0.829553
2048,64,50,1,100,830004,0.830004
1024,64,50,1,10,830865,0.830865
4096,8,50,1,30,831327,0.831327
4096,64,50,1,50,831517,0.831517
1024,64,50,1,80,831907,0.831907
4096,32,50,1,50,832418,0.832418
2048,2,50,1,80,832739,0.832739
2048,64,50,1,50,833651,0.833651
1024,2,50,1,20,834151,0.834151
1024,64,50,1,70,834262,0.834262
4096,2,50,1,10,834392,0.834392
8192,2,50,1,30,834542,0.834542
1024,16,50,1,100,835935,0.835935
2048,16,50,1,80,836446,0.836446
1024,4,50,1,90,836997,0.836997
4096,64,50,1,80,837278,0.837278
1024,4,50,1,60,837659,0.837659
4096,4,50,1,80,837828,0.837828
4096,8,50,1,60,838219,0.838219
8192,8,50,1,70,838229,0.838229
1024,32,50,1,70,838329,0.838329
2048,8,50,1,10,838851,0.838851
1024,2,50,1,100,839331,0.839331
2048,16,50,1,20,839471,0.839471
8192,32,50,1,10,839712,0.839712
8192,64,50,1,30,839782,0.839782
4096,16,50,1,0,839822,0.839822
4096,64,50,1,60,840363,0.840363
2048,8,50,1,60,841094,0.841094
8192,32,50,1,50,841255,0.841255
1024,4,50,1,30,841896,0.841896
4096,16,50,1,50,842016,0.842016
2048,2,50,1,30,842106,0.842106
4096,8,50,1,80,842326,0.842326
4096,32,50,1,40,842377,0.842377
1024,32,50,1,30,842848,0.842848
4096,2,50,1,40,843378,0.843378
1024,64,50,1,60,843709,0.843709
8192,32,50,1,70,843759,0.843759
1024,32,50,1,90,844090,0.84409
4096,2,50,1,100,844791,0.844791
8192,64,50,1,40,845002,0.845002
2048,32,50,1,0,845433,0.845433
4096,64,50,1,30,845954,0.845954
1024,16,50,1,0,845994,0.845994
4096,2,50,1,90,846254,0.846254
4096,64,50,1,40,846304,0.846304
8192,2,50,1,60,846544,0.846544
4096,32,50,1,30,846605,0.846605
4096,4,50,1,0,846895,0.846895
8192,2,50,1,70,847537,0.847537
2048,64,50,1,20,848187,0.848187
4096,32,50,1,60,848658,0.848658
1024,64,50,1,30,848778,0.848778
8192,16,50,1,30,848969,0.848969
4096,4,50,1,30,849050,0.84905
2048,64,50,1,80,849399,0.849399
2048,2,50,1,90,849520,0.84952
2048,2,50,1,0,849570,0.84957
4096,16,50,1,30,849891,0.849891
1024,32,50,1,10,850301,0.850301
2048,8,50,1,100,850372,0.850372
1024,4,50,1,100,850963,0.850963
8192,64,50,1,60,850963,0.850963
2048,32,50,1,40,851834,0.851834
4096,16,50,1,40,851854,0.851854
4096,64,50,1,70,852065,0.852065
4096,64,50,1,90,852275,0.852275
8192,16,50,1,100,852345,0.852345
1024,64,50,1,90,852525,0.852525
8192,4,50,1,0,852546,0.852546
1024,4,50,1,80,853698,0.853698
4096,4,50,1,70,853707,0.853707
2048,4,50,1,20,853928,0.853928
1024,64,50,1,20,854399,0.854399
2048,4,50,1,50,854600,0.8546
4096,32,50,1,70,854600,0.8546
4096,8,50,1,20,854699,0.854699
1024,8,50,1,10,855070,0.85507
8192,2,50,1,0,855090,0.85509
1024,16,50,1,10,855140,0.85514
2048,16,50,1,100,855491,0.855491
1024,32,50,1,50,856012,0.856012
1024,32,50,1,20,856393,0.856393
2048,8,50,1,30,856413,0.856413
2048,8,50,1,50,856623,0.856623
8192,16,50,1,90,857184,0.857184
4096,2,50,1,50,857445,0.857445
4096,4,50,1,40,857655,0.857655
8192,2,50,1,20,857705,0.857705
2048,8,50,1,80,858045,0.858045
1024,64,50,1,0,858056,0.858056
2048,2,50,1,70,858557,0.858557
8192,4,50,1,30,858777,0.858777
8192,64,50,1,90,858837,0.858837
8192,2,50,1,100,859158,0.859158
8192,8,50,1,50,859248,0.859248
2048,32,50,1,70,859268,0.859268
4096,8,50,1,90,859288,0.859288
8192,32,50,1,0,859389,0.859389
4096,8,50,1,100,859449,0.859449
8192,8,50,1,60,859449,0.859449
2048,8,50,1,0,859528,0.859528
4096,4,50,1,20,859669,0.859669
4096,2,50,1,30,859739,0.859739
1024,64,50,1,50,859749,0.859749
1024,4,50,1,70,859809,0.859809
2048,32,50,1,60,859850,0.85985
8192,4,50,1,50,860100,0.8601
2048,2,50,1,50,860550,0.86055
1024,32,50,1,40,860931,0.860931
1024,8,50,1,100,861672,0.861672
8192,16,50,1,80,861773,0.861773
8192,16,50,1,0,861823,0.861823
4096,8,50,1,70,862363,0.862363
4096,4,50,1,100,862584,0.862584
2048,8,50,1,20,862624,0.862624
4096,32,50,1,80,862765,0.862765
2048,4,50,1,100,862865,0.862865
2048,64,50,1,70,863346,0.863346
1024,32,50,1,100,863386,0.863386
1024,16,50,1,80,863886,0.863886
