TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
1024,64,10000,1,100,808824,0.808824
8192,64,10000,1,50,825315,0.825315
4096,16,10000,1,20,828060,0.82806
2048,16,10000,1,90,834453,0.834453
1024,16,10000,1,60,837227,0.837227
8192,8,10000,1,40,837378,0.837378
2048,4,10000,1,90,837869,0.837869
8192,64,10000,1,0,839602,0.839602
4096,64,10000,1,60,841114,0.841114
4096,4,10000,1,100,842707,0.842707
8192,16,10000,1,40,843359,0.843359
2048,16,10000,1,70,844671,0.844671
2048,2,10000,1,0,845813,0.845813
4096,4,10000,1,70,846314,0.846314
8192,16,10000,1,20,846644,0.846644
1024,8,10000,1,70,847206,0.847206
1024,64,10000,1,70,847206,0.847206
8192,64,10000,1,90,847416,0.847416
8192,64,10000,1,30,847586,0.847586
4096,64,10000,1,90,847827,0.847827
4096,64,10000,1,10,848197,0.848197
2048,2,10000,1,20,848287,0.848287
2048,16,10000,1,0,848728,0.848728
1024,16,10000,1,30,849871,0.849871
4096,2,10000,1,20,850191,0.850191
8192,64,10000,1,40,850612,0.850612
4096,32,10000,1,50,850802,0.850802
2048,64,10000,1,100,851163,0.851163
4096,16,10000,1,70,851163,0.851163
4096,4,10000,1,10,851885,0.851885
8192,64,10000,1,100,852475,0.852475
2048,64,10000,1,70,852606,0.852606
4096,16,10000,1,80,852826,0.852826
2048,64,10000,1,50,853257,0.853257
2048,64,10000,1,60,854299,0.854299
1024,2,10000,1,40,855060,0.85506
1024,8,10000,1,100,855341,0.855341
4096,16,10000,1,40,855491,0.855491
4096,4,10000,1,30,855781,0.855781
4096,2,10000,1,0,855942,0.855942
4096,64,10000,1,50,855992,0.855992
2048,4,10000,1,40,856423,0.856423
1024,2,10000,1,20,856543,0.856543
8192,8,10000,1,20,857184,0.857184
8192,16,10000,1,10,857264,0.857264
8192,16,10000,1,30,857374,0.857374
2048,32,10000,1,0,857424,0.857424
1024,8,10000,1,20,857605,0.857605
1024,16,10000,1,0,858016,0.858016
4096,16,10000,1,0,858907,0.858907
2048,32,10000,1,40,859999,0.859999
1024,8,10000,1,50,860210,0.86021
2048,32,10000,1,80,860310,0.86031
2048,32,10000,1,20,860911,0.860911
4096,4,10000,1,90,861261,0.861261
4096,32,10000,1,0,861572,0.861572
4096,4,10000,1,20,861722,0.861722
8192,4,10000,1,30,861723,0.861723
1024,4,10000,1,70,862133,0.862133
1024,16,10000,1,50,862744,0.862744
4096,8,10000,1,10,862754,0.862754
8192,4,10000,1,80,863746,0.863746
8192,4,10000,1,60,863947,0.863947
2048,8,10000,1,20,864077,0.864077
8192,4,10000,1,40,864107,0.864107
2048,2,10000,1,10,864517,0.864517
8192,8,10000,1,90,864558,0.864558
1024,32,10000,1,90,865069,0.865069
4096,2,10000,1,60,865429,0.865429
2048,8,10000,1,40,865650,0.86565
2048,2,10000,1,70,866140,0.86614
4096,8,10000,1,50,867052,0.867052
2048,16,10000,1,30,867293,0.867293
4096,64,10000,1,100,867333,0.867333
1024,16,10000,1,70,867413,0.867413
2048,32,10000,1,90,867513,0.867513
1024,64,10000,1,80,867804,0.867804
8192,2,10000,1,0,867894,0.867894
4096,2,10000,1,30,868194,0.868194
2048,2,10000,1,40,868405,0.868405
2048,16,10000,1,10,868505,0.868505
4096,64,10000,1,40,868605,0.868605
2048,4,10000,1,20,868926,0.868926
2048,2,10000,1,80,869237,0.869237
1024,4,10000,1,30,869257,0.869257
1024,64,10000,1,10,870068,0.870068
4096,8,10000,1,20,870068,0.870068
2048,8,10000,1,70,870288,0.870288
1024,4,10000,1,50,870499,0.870499
4096,2,10000,1,80,871130,0.87113
1024,4,10000,1,80,874967,0.874967
2048,16,10000,1,50,875007,0.875007
4096,4,10000,1,40,875328,0.875328
1024,2,10000,1,80,876229,0.876229
1024,32,10000,1,70,876790,0.87679
1024,32,10000,1,80,877421,0.877421
2048,4,10000,1,0,877542,0.877542
4096,16,10000,1,50,877542,0.877542
8192,32,10000,1,60,878344,0.878344
1024,32,10000,1,10,878404,0.878404
1024,64,10000,1,40,878433,0.878433
4096,32,10000,1,60,878984,0.878984
2048,4,10000,1,30,879796,0.879796
4096,64,10000,1,30,880678,0.880678
1024,4,10000,1,10,881299,0.881299
8192,2,10000,1,20,882491,0.882491
8192,64,10000,1,10,882661,0.882661
1024,16,10000,1,40,883052,0.883052
4096,2,10000,1,90,884565,0.884565
4096,8,10000,1,0,884826,0.884826
8192,2,10000,1,30,885477,0.885477
4096,8,10000,1,80,885637,0.885637
2048,64,10000,1,20,885968,0.885968
2048,4,10000,1,60,887290,0.88729
1024,4,10000,1,60,887951,0.887951
1024,8,10000,1,40,888703,0.888703
2048,4,10000,1,10,889383,0.889383
4096,16,10000,1,60,889614,0.889614
8192,32,10000,1,90,890305,0.890305
2048,64,10000,1,10,891668,0.891668
8192,2,10000,1,90,891677,0.891677
1024,32,10000,1,20,891818,0.891818
1024,4,10000,1,40,892349,0.892349
1024,4,10000,1,100,892689,0.892689
4096,32,10000,1,20,893682,0.893682
1024,8,10000,1,30,893892,0.893892
8192,4,10000,1,20,894093,0.894093
8192,4,10000,1,100,894493,0.894493
2048,64,10000,1,90,895244,0.895244
1024,32,10000,1,60,895745,0.895745
4096,4,10000,1,0,896156,0.896156
8192,4,10000,1,0,897098,0.897098
8192,4,10000,1,70,898100,0.8981
4096,64,10000,1,20,899732,0.899732
2048,2,10000,1,30,900464,0.900464
4096,8,10000,1,90,900665,0.900665
2048,16,10000,1,100,900976,0.900976
1024,64,10000,1,90,902348,0.902348
4096,2,10000,1,10,904030,0.90403
1024,64,10000,1,0,904421,0.904421
4096,64,10000,1,70,905473,0.905473
2048,64,10000,1,80,905534,0.905534
1024,2,10000,1,10,906104,0.906104
4096,32,10000,1,70,906225,0.906225
4096,32,10000,1,30,910933,0.910933
8192,2,10000,1,40,910954,0.910954
1024,2,10000,1,60,912376,0.912376
8192,8,10000,1,70,913228,0.913228
8192,2,10000,1,10,913268,0.913268
2048,64,10000,1,30,915502,0.915502
2048,8,10000,1,10,915622,0.915622
8192,16,10000,1,80,921653,0.921653
8192,64,10000,1,20,921724,0.921724
4096,4,10000,1,80,923677,0.923677
8192,64,10000,1,60,924018,0.924018
1024,16,10000,1,80,925009,0.925009
8192,32,10000,1,80,925039,0.925039
4096,8,10000,1,100,928586,0.928586
4096,32,10000,1,80,929317,0.929317
2048,16,10000,1,40,930109,0.930109
8192,8,10000,1,80,933565,0.933565
4096,4,10000,1,60,936300,0.9363
1024,2,10000,1,50,936951,0.936951
8192,32,10000,1,40,937673,0.937673
1024,8,10000,1,60,937794,0.937794
8192,2,10000,1,50,938815,0.938815
4096,64,10000,1,0,939547,0.939547
4096,2,10000,1,100,941430,0.94143
2048,64,10000,1,40,941460,0.94146
8192,32,10000,1,70,941470,0.94147
2048,2,10000,1,60,945236,0.945236
1024,32,10000,1,40,946399,0.946399
4096,2,10000,1,50,948352,0.948352
1024,16,10000,1,100,949435,0.949435
4096,16,10000,1,100,950577,0.950577
1024,64,10000,1,20,950937,0.950937
2048,16,10000,1,20,951539,0.951539
8192,2,10000,1,60,952190,0.95219
2048,32,10000,1,10,952731,0.952731
8192,32,10000,1,10,957700,0.9577
2048,64,10000,1,0,959674,0.959674
1024,64,10000,1,50,960445,0.960445
4096,32,10000,1,40,960495,0.960495
8192,16,10000,1,50,961768,0.961768
1024,32,10000,1,0,963270,0.96327
8192,4,10000,1,50,964453,0.964453
8192,32,10000,1,100,964502,0.964502
1024,32,10000,1,50,965414,0.965414
2048,8,10000,1,80,965835,0.965835
4096,2,10000,1,70,967227,0.967227
8192,8,10000,1,50,969020,0.96902
2048,16,10000,1,80,969041,0.969041
8192,64,10000,1,80,969522,0.969522
8192,32,10000,2,40,970263,0.970263
8192,4,10000,2,60,970334,0.970334
2048,8,10000,1,0,970784,0.970784
4096,8,10000,1,30,972116,0.972116
8192,2,10000,1,80,974531,0.974531
1024,8,10000,1,80,974641,0.974641
8192,8,10000,1,60,974742,0.974742
1024,64,10000,2,60,976605,0.976605
8192,64,10000,2,40,976695,0.976695
8192,64,10000,1,70,978899,0.978899
1024,16,10000,1,20,979230,0.97923
8192,16,10000,2,100,979340,0.97934
8192,4,10000,2,90,979370,0.97937
4096,8,10000,1,70,980171,0.980171
2048,8,10000,2,70,980371,0.980371
8192,8,10000,1,10,982385,0.982385
8192,4,10000,1,90,983116,0.983116
4096,32,10000,1,10,983167,0.983167
8192,64,10000,2,50,983237,0.983237
2048,8,10000,1,30,983628,0.983628
4096,64,10000,2,10,984018,0.984018
2048,16,10000,1,60,984509,0.984509
1024,32,10000,1,30,985151,0.985151
2048,4,10000,1,80,986363,0.986363
8192,2,10000,1,100,987515,0.987515
4096,32,10000,1,100,988517,0.988517
8192,8,10000,2,90,988868,0.988868
4096,4,10000,2,30,988948,0.988948
4096,16,10000,1,10,989439,0.989439
1024,8,10000,2,30,989649,0.989649
1024,2,10000,1,0,990230,0.99023
1024,32,10000,2,20,991041,0.991041
1024,16,10000,1,90,991883,0.991883
4096,16,10000,1,90,992704,0.992704
1024,8,10000,1,90,993066,0.993066
4096,2,10000,2,50,993616,0.993616
2048,4,10000,1,70,994087,0.994087
1024,2,10000,1,100,994628,0.994628
4096,64,10000,2,60,995079,0.995079
2048,2,10000,2,100,995470,0.99547
2048,64,10000,2,90,995910,0.99591
8192,64,10000,2,80,996231,0.996231
8192,16,10000,1,0,996923,0.996923
1024,64,10000,2,50,996982,0.996982
1024,64,10000,2,30,997343,0.997343
2048,2,10000,1,90,997874,0.997874
1024,2,10000,1,30,1000509,1.000509
4096,16,10000,2,80,1001100,1.0011
4096,2,10000,2,80,1001360,1.00136
2048,4,10000,2,70,1001751,1.001751
2048,32,10000,1,60,1002152,1.002152
2048,2,10000,2,30,1002222,1.002222
2048,2,10000,2,80,1002323,1.002323
2048,64,10000,2,0,1002853,1.002853
4096,16,10000,1,30,1004587,1.004587
2048,8,10000,1,60,1004627,1.004627
1024,16,10000,2,90,1004736,1.004736
1024,64,10000,2,20,1004807,1.004807
2048,8,10000,1,50,1004857,1.004857
1024,2,10000,1,70,1004997,1.004997
4096,8,10000,1,40,1005168,1.005168
8192,8,10000,2,40,1005187,1.005187
1024,64,10000,2,100,1005439,1.005439
1024,4,10000,2,70,1007061,1.007061
8192,4,10000,2,50,1007832,1.007832
4096,2,10000,2,0,1008904,1.008904
4096,64,10000,2,80,1009346,1.009346
1024,8,10000,1,0,1009425,1.009425
4096,2,10000,1,40,1010137,1.010137
2048,32,10000,1,50,1010337,1.010337
2048,8,10000,2,40,1010508,1.010508
4096,16,10000,2,10,1010808,1.010808
1024,8,10000,2,50,1010929,1.010929
1024,64,10000,2,90,1011349,1.011349
8192,2,10000,2,90,1011400,1.0114
8192,32,10000,2,80,1011450,1.01145
8192,4,10000,1,10,1011469,1.011469
1024,64,10000,2,0,1011579,1.011579
2048,2,10000,2,0,1011769,1.011769
4096,64,10000,2,30,1011960,1.01196
8192,16,10000,2,0,1012281,1.012281
4096,8,10000,1,60,1012461,1.012461
2048,16,10000,2,20,1012501,1.012501
2048,4,10000,2,100,1012932,1.012932
1024,64,10000,1,30,1012942,1.012942
