TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
2048,32,100,1,50,854559,0.854559
4096,32,100,1,0,854560,0.85456
1024,64,100,1,10,854730,0.85473
4096,32,100,1,40,854750,0.85475
4096,16,100,1,10,854819,0.854819
2048,16,100,1,70,854830,0.85483
2048,16,100,1,40,855010,0.85501
1024,32,100,1,80,855040,0.85504
1024,4,100,1,50,855411,0.855411
1024,2,100,1,70,855431,0.855431
2048,64,100,1,40,855461,0.855461
8192,16,100,1,60,855601,0.855601
1024,32,100,1,100,855752,0.855752
4096,32,100,1,50,856062,0.856062
1024,64,100,1,90,856433,0.856433
8192,16,100,1,100,856443,0.856443
2048,16,100,1,10,856844,0.856844
8192,16,100,1,40,856864,0.856864
4096,16,100,1,20,856903,0.856903
1024,64,100,1,20,857144,0.857144
1024,64,100,1,50,857244,0.857244
1024,64,100,1,0,857325,0.857325
4096,16,100,1,80,857425,0.857425
1024,2,100,1,10,857615,0.857615
8192,16,100,1,30,857946,0.857946
4096,64,100,1,30,858026,0.858026
1024,16,100,1,80,858186,0.858186
2048,16,100,1,0,858536,0.858536
2048,8,100,1,100,859088,0.859088
4096,16,100,1,90,860450,0.86045
8192,8,100,1,80,860671,0.860671
1024,8,100,1,40,860741,0.860741
2048,16,100,1,50,861051,0.861051
4096,4,100,1,10,861863,0.861863
4096,2,100,1,70,861923,0.861923
4096,32,100,1,80,862373,0.862373
4096,8,100,1,10,862774,0.862774
2048,2,100,1,90,862865,0.862865
1024,32,100,1,30,862915,0.862915
2048,16,100,1,60,863345,0.863345
2048,8,100,1,20,863536,0.863536
1024,32,100,1,0,863907,0.863907
8192,32,100,1,0,863947,0.863947
4096,2,100,1,60,864198,0.864198
8192,4,100,1,0,864638,0.864638
8192,16,100,1,80,865079,0.865079
4096,32,100,1,100,865380,0.86538
1024,8,100,1,70,865439,0.865439
8192,32,100,1,30,865640,0.86564
8192,4,100,1,80,865670,0.86567
8192,4,100,1,60,865980,0.86598
1024,8,100,1,20,866101,0.866101
4096,64,100,1,60,866341,0.866341
4096,2,100,1,20,866402,0.866402
4096,2,100,1,50,866752,0.866752
2048,2,100,1,80,867343,0.867343
8192,16,100,1,70,867513,0.867513
4096,16,100,1,40,867714,0.867714
2048,4,100,1,80,868625,0.868625
2048,32,100,1,80,868686,0.868686
8192,2,100,1,40,868706,0.868706
2048,16,100,1,30,869066,0.869066
1024,4,100,1,90,869416,0.869416
2048,32,100,1,100,869517,0.869517
8192,4,100,1,10,869657,0.869657
1024,8,100,1,80,869687,0.869687
1024,16,100,1,100,870218,0.870218
8192,32,100,1,50,870309,0.870309
1024,4,100,1,30,870599,0.870599
2048,8,100,1,80,870659,0.870659
1024,8,100,1,0,870699,0.870699
2048,32,100,1,60,870890,0.87089
1024,2,100,1,80,871109,0.871109
8192,32,100,1,90,871240,0.87124
4096,4,100,1,50,871801,0.871801
2048,32,100,1,30,872072,0.872072
2048,64,100,1,100,872542,0.872542
2048,4,100,1,10,873163,0.873163
1024,8,100,1,60,873865,0.873865
4096,16,100,1,30,875568,0.875568
2048,16,100,1,20,876510,0.87651
4096,2,100,1,90,876601,0.876601
8192,32,100,1,100,876870,0.87687
8192,8,100,1,0,877541,0.877541
4096,64,100,1,0,878463,0.878463
4096,2,100,1,80,878764,0.878764
1024,16,100,1,40,879605,0.879605
2048,2,100,1,40,879806,0.879806
1024,8,100,1,90,880748,0.880748
8192,32,100,1,80,881319,0.881319
1024,8,100,1,30,881489,0.881489
2048,16,100,1,100,881720,0.88172
4096,32,100,1,60,882581,0.882581
2048,8,100,1,60,882781,0.882781
2048,16,100,1,80,883132,0.883132
1024,2,100,1,40,883343,0.883343
2048,64,100,1,10,884685,0.884685
1024,16,100,1,60,885196,0.885196
1024,2,100,1,0,885527,0.885527
4096,4,100,1,0,889283,0.889283
8192,2,100,1,70,889875,0.889875
8192,8,100,1,100,894513,0.894513
4096,2,100,1,100,895865,0.895865
4096,32,100,1,10,896758,0.896758
4096,64,100,1,50,899452,0.899452
8192,2,100,1,0,903911,0.903911
1024,16,100,1,70,905052,0.905052
2048,8,100,1,0,907617,0.907617
1024,8,100,1,100,917977,0.917977
2048,64,100,1,30,920321,0.920321
8192,64,100,1,0,922766,0.922766
4096,16,100,1,70,923046,0.923046
4096,2,100,1,0,936732,0.936732
1024,4,100,1,20,939285,0.939285
1024,2,100,1,90,946379,0.946379
1024,64,100,1,30,948192,0.948192
8192,64,100,1,80,951879,0.951879
2048,8,100,2,60,953903,0.953903
8192,16,100,1,50,954705,0.954705
2048,64,100,2,80,961988,0.961988
8192,64,100,2,40,964242,0.964242
2048,16,100,2,10,965194,0.965194
4096,64,100,2,90,966206,0.966206
8192,2,100,1,100,966937,0.966937
4096,64,100,2,50,967208,0.967208
4096,2,100,2,30,968920,0.96892
8192,2,100,2,100,971215,0.971215
1024,32,100,2,90,971616,0.971616
2048,64,100,2,40,971906,0.971906
2048,4,100,2,100,972678,0.972678
2048,16,100,2,50,972848,0.972848
4096,2,100,2,80,975082,0.975082
4096,8,100,2,20,975413,0.975413
8192,16,100,2,20,975493,0.975493
8192,8,100,2,30,975773,0.975773
1024,64,100,2,20,976384,0.976384
8192,2,100,2,80,976946,0.976946
4096,32,100,2,20,977196,0.977196
4096,32,100,2,50,978478,0.978478
2048,2,100,2,50,978629,0.978629
2048,32,100,2,60,978819,0.978819
8192,2,100,2,60,978910,0.97891
4096,2,100,2,60,979169,0.979169
8192,4,100,2,40,979209,0.979209
1024,16,100,2,60,979490,0.97949
8192,32,100,2,10,979640,0.97964
2048,32,100,2,10,979981,0.979981
8192,4,100,2,100,980912,0.980912
2048,64,100,2,100,980973,0.980973
1024,64,100,2,10,981053,0.981053
4096,32,100,2,90,981264,0.981264
8192,4,100,2,70,981414,0.981414
4096,4,100,2,30,981705,0.981705
1024,16,100,2,20,981905,0.981905
4096,2,100,2,50,982286,0.982286
4096,8,100,2,100,982466,0.982466
8192,16,100,2,70,982936,0.982936
1024,32,100,2,30,982997,0.982997
2048,64,100,2,60,983177,0.983177
1024,64,100,2,60,983187,0.983187
2048,2,100,2,80,983287,0.983287
4096,2,100,2,70,983468,0.983468
2048,32,100,2,50,983749,0.983749
4096,32,100,2,30,983879,0.983879
8192,4,100,2,90,984149,0.984149
8192,64,100,2,30,984409,0.984409
2048,16,100,2,20,984951,0.984951
4096,64,100,2,10,984960,0.98496
1024,16,100,2,10,984961,0.984961
4096,32,100,2,100,985341,0.985341
8192,2,100,2,90,985532,0.985532
4096,2,100,2,10,985582,0.985582
2048,32,100,2,20,988317,0.988317
1024,4,100,2,50,988357,0.988357
2048,4,100,2,20,989028,0.989028
4096,8,100,2,80,990451,0.990451
4096,4,100,2,90,991292,0.991292
2048,4,100,2,90,991893,0.991893
1024,2,100,2,60,993486,0.993486
1024,64,100,2,30,993526,0.993526
1024,16,100,2,70,993737,0.993737
4096,4,100,2,50,993777,0.993777
1024,2,100,2,10,995700,0.9957
4096,32,100,2,60,995800,0.9958
4096,2,100,2,90,995870,0.99587
2048,32,100,2,40,996372,0.996372
1024,16,100,2,0,996541,0.996541
1024,16,100,2,80,996682,0.996682
8192,8,100,2,70,996813,0.996813
8192,32,100,2,0,997162,0.997162
8192,4,100,2,20,997364,0.997364
8192,8,100,2,20,997564,0.997564
4096,8,100,2,90,997814,0.997814
2048,4,100,2,10,998104,0.998104
2048,16,100,2,40,998144,0.998144
