TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
4096,64,10,1,30,802994,0.802994
8192,8,10,1,50,803154,0.803154
2048,2,10,1,70,809076,0.809076
8192,16,10,1,90,812492,0.812492
1024,64,10,1,10,812632,0.812632
1024,8,10,1,40,812832,0.812832
1024,16,10,1,10,813694,0.813694
4096,64,10,1,90,814105,0.814105
8192,16,10,1,60,815156,0.815156
1024,8,10,1,90,816279,0.816279
2048,64,10,1,80,816519,0.816519
2048,64,10,1,60,817531,0.817531
1024,64,10,1,40,818223,0.818223
4096,32,10,1,80,818363,0.818363
1024,64,10,1,30,818873,0.818873
8192,64,10,1,50,820196,0.820196
4096,32,10,1,0,820286,0.820286
1024,2,10,1,20,820296,0.820296
4096,16,10,1,60,821308,0.821308
1024,8,10,1,100,822079,0.822079
4096,64,10,1,100,822310,0.82231
8192,8,10,1,40,823171,0.823171
1024,4,10,1,50,823422,0.823422
8192,8,10,1,20,824814,0.824814
8192,8,10,1,10,825025,0.825025
4096,2,10,1,50,826187,0.826187
1024,4,10,1,80,826758,0.826758
8192,2,10,1,50,826838,0.826838
1024,4,10,1,100,826859,0.826859
1024,16,10,1,80,827008,0.827008
4096,64,10,1,80,827239,0.827239
4096,4,10,1,60,827519,0.827519
2048,16,10,1,60,827620,0.82762
2048,32,10,1,100,827690,0.82769
2048,16,10,1,40,827770,0.82777
4096,8,10,1,10,828130,0.82813
8192,2,10,1,30,828691,0.828691
2048,4,10,1,60,828772,0.828772
1024,2,10,1,10,828831,0.828831
4096,2,10,1,80,829273,0.829273
2048,32,10,1,30,829303,0.829303
4096,4,10,1,100,829623,0.829623
8192,64,10,1,30,829803,0.829803
2048,32,10,1,10,830094,0.830094
1024,4,10,1,20,830975,0.830975
2048,64,10,1,10,831127,0.831127
2048,64,10,1,50,831287,0.831287
4096,16,10,1,40,831507,0.831507
2048,2,10,1,30,831587,0.831587
1024,2,10,1,50,831677,0.831677
