TamanhoMem,minBloco, requisicoes,threads,cleaningPercent ,execucao ,segundos
4096,8,20,1,40,801662,0.801662
8192,8,20,1,20,810648,0.810648
8192,64,20,1,60,810689,0.810689
1024,2,20,1,60,813333,0.813333
2048,4,20,1,70,813383,0.813383
4096,4,20,1,60,815087,0.815087
8192,4,20,1,20,815657,0.815657
1024,16,20,1,80,817641,0.817641
1024,16,20,1,70,818583,0.818583
2048,8,20,1,50,818863,0.818863
8192,4,20,1,70,819124,0.819124
2048,4,20,1,60,819485,0.819485
2048,8,20,1,20,819705,0.819705
8192,32,20,1,20,819915,0.819915
1024,32,20,1,60,820327,0.820327
2048,16,20,1,70,820397,0.820397
2048,64,20,1,50,821609,0.821609
2048,32,20,1,90,821768,0.821768
8192,4,20,1,60,822500,0.8225
2048,32,20,1,40,822721,0.822721
2048,16,20,1,60,823282,0.823282
2048,64,20,1,40,823552,0.823552
2048,2,20,1,100,823582,0.823582
8192,64,20,1,40,823652,0.823652
2048,4,20,1,80,824524,0.824524
8192,16,20,1,70,825465,0.825465
8192,8,20,1,40,825595,0.825595
1024,32,20,1,20,825696,0.825696
8192,4,20,1,80,826007,0.826007
8192,8,20,1,30,826167,0.826167
4096,16,20,1,10,826237,0.826237
1024,32,20,1,40,826247,0.826247
4096,32,20,1,100,826748,0.826748
1024,4,20,1,100,826869,0.826869
1024,32,20,1,70,827490,0.82749
1024,16,20,1,50,827650,0.82765
2048,8,20,1,10,827699,0.827699
4096,8,20,1,70,827750,0.82775
2048,8,20,1,60,828151,0.828151
2048,8,20,1,100,828481,0.828481
2048,2,20,1,40,828662,0.828662
4096,16,20,1,70,828692,0.828692
2048,8,20,1,70,828922,0.828922
4096,32,20,1,80,829023,0.829023
8192,8,20,1,50,829524,0.829524
8192,4,20,1,30,829833,0.829833
1024,64,20,1,40,829844,0.829844
8192,64,20,1,50,829923,0.829923
4096,4,20,1,80,829953,0.829953
8192,32,20,1,10,830084,0.830084
1024,2,20,1,20,830114,0.830114
4096,2,20,1,30,830245,0.830245
1024,32,20,1,90,830645,0.830645
2048,32,20,1,20,830675,0.830675
1024,4,20,1,10,831447,0.831447
8192,2,20,1,30,831556,0.831556
8192,2,20,1,70,832118,0.832118
1024,4,20,1,90,832228,0.832228
2048,2,20,1,70,832228,0.832228
8192,64,20,1,70,832378,0.832378
1024,32,20,1,50,832608,0.832608
2048,8,20,1,30,832739,0.832739
4096,16,20,1,100,833060,0.83306
2048,32,20,1,70,833099,0.833099
8192,2,20,1,50,833199,0.833199
4096,4,20,1,10,833320,0.83332
4096,8,20,1,10,833320,0.83332
1024,2,20,1,70,833480,0.83348
1024,64,20,1,60,833651,0.833651
2048,32,20,1,100,833841,0.833841
4096,64,20,1,90,834021,0.834021
8192,16,20,1,30,834142,0.834142
8192,2,20,1,60,834402,0.834402
4096,16,20,1,20,834603,0.834603
4096,32,20,1,40,834954,0.834954
8192,8,20,1,10,834963,0.834963
2048,32,20,1,10,835184,0.835184
1024,8,20,1,60,835243,0.835243
2048,16,20,1,80,835755,0.835755
8192,2,20,1,100,835764,0.835764
1024,8,20,1,80,835795,0.835795
2048,16,20,1,90,836015,0.836015
4096,2,20,1,20,836115,0.836115
2048,2,20,1,90,836216,0.836216
4096,64,20,1,50,836216,0.836216
2048,16,20,1,30,836366,0.836366
2048,4,20,1,40,836386,0.836386
8192,32,20,1,60,836526,0.836526
1024,8,20,1,50,836566,0.836566
8192,2,20,1,20,836857,0.836857
8192,8,20,1,60,837067,0.837067
1024,4,20,1,40,837428,0.837428
1024,2,20,1,90,837458,0.837458
8192,4,20,1,40,837468,0.837468
1024,32,20,1,80,837588,0.837588
8192,2,20,1,80,837759,0.837759
1024,16,20,1,100,837778,0.837778
2048,16,20,1,40,837849,0.837849
1024,16,20,1,60,837909,0.837909
2048,64,20,1,60,838189,0.838189
4096,64,20,1,100,838620,0.83862
2048,2,20,1,30,838790,0.83879
4096,16,20,1,40,838911,0.838911
8192,32,20,1,90,838980,0.83898
4096,32,20,1,30,839301,0.839301
4096,8,20,1,20,839422,0.839422
2048,16,20,1,100,839442,0.839442
4096,4,20,1,30,839621,0.839621
1024,8,20,1,90,839772,0.839772
1024,16,20,1,40,839832,0.839832
8192,4,20,1,100,840123,0.840123
4096,32,20,1,70,840192,0.840192
2048,16,20,1,20,840363,0.840363
2048,32,20,1,80,840454,0.840454
8192,8,20,1,80,840874,0.840874
8192,16,20,1,80,840954,0.840954
2048,8,20,1,40,841114,0.841114
4096,64,20,1,70,841635,0.841635
1024,2,20,1,10,841756,0.841756
1024,64,20,1,100,842137,0.842137
4096,2,20,1,10,842186,0.842186
2048,4,20,1,90,842206,0.842206
1024,64,20,1,10,842447,0.842447
2048,4,20,1,100,842908,0.842908
1024,64,20,1,80,843108,0.843108
2048,32,20,1,30,843149,0.843149
8192,64,20,1,90,843398,0.843398
8192,32,20,1,100,843609,0.843609
2048,4,20,1,50,843990,0.84399
1024,16,20,1,10,844000,0.844
2048,16,20,1,50,844301,0.844301
