tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,4,10,1,90,1,0.02,0.01,0.01,38320
1024,4,10,1,100,1,0.02,0.01,0.01,38352
1024,4,20,1,0,1,0.02,0.01,0.01,38320
1024,4,20,1,10,1,0.02,0.01,0.01,38160
1024,4,20,1,20,1,0.02,0.01,0.01,38052
1024,4,20,1,30,1,0.02,0.00,0.02,38040
1024,4,20,1,40,1,0.02,0.01,0.01,38372
1024,4,20,1,50,1,0.02,0.01,0.01,37820
1024,4,20,1,60,1,0.02,0.01,0.01,38024
1024,4,20,1,70,1,0.02,0.01,0.01,37724
1024,4,20,1,80,1,0.02,0.01,0.01,38128
1024,4,20,1,90,1,0.02,0.01,0.01,38068
1024,4,20,1,100,1,0.02,0.01,0.01,37936
1024,4,30,1,0,1,0.02,0.01,0.01,37528
1024,4,30,1,10,1,0.02,0.01,0.01,38200
1024,4,30,1,20,1,0.02,0.01,0.01,38036
1024,4,30,1,30,1,0.02,0.01,0.01,38364
1024,4,30,1,40,1,0.02,0.01,0.01,38248
1024,4,30,1,50,1,0.02,0.01,0.01,37896
1024,4,30,1,60,1,0.02,0.01,0.01,38312
1024,4,30,1,70,1,0.02,0.01,0.01,38196
1024,4,30,1,80,1,0.02,0.01,0.01,38176
1024,4,30,1,90,1,0.02,0.01,0.01,38132
1024,4,30,1,100,1,0.02,0.01,0.01,38296
1024,4,40,1,0,1,0.02,0.01,0.01,37864
1024,4,40,1,10,1,0.02,0.01,0.01,38404
1024,4,40,1,20,1,0.02,0.01,0.01,38376
1024,4,40,1,30,1,0.02,0.01,0.01,38152
1024,4,40,1,40,1,0.02,0.01,0.02,38060
1024,4,40,1,50,1,0.02,0.01,0.01,38272
1024,4,40,1,60,1,0.02,0.01,0.01,38264
1024,4,40,1,70,1,0.02,0.01,0.01,38004
1024,4,40,1,80,1,0.02,0.01,0.01,38316
1024,4,40,1,90,1,0.02,0.01,0.01,38136
1024,4,40,1,100,1,0.02,0.01,0.01,38188
1024,4,50,1,0,1,0.02,0.01,0.01,38076
1024,4,50,1,10,1,0.02,0.01,0.01,38324
1024,4,50,1,20,1,0.02,0.01,0.01,38004
1024,4,50,1,30,1,0.02,0.01,0.01,38380
1024,4,50,1,40,1,0.02,0.01,0.01,38072
1024,4,50,1,50,1,0.02,0.01,0.01,37880
1024,4,50,1,60,1,0.02,0.01,0.01,38060
1024,4,50,1,70,1,0.02,0.01,0.01,38112
1024,4,50,1,80,1,0.02,0.01,0.01,38492
1024,4,50,1,90,1,0.02,0.01,0.01,38148
1024,4,50,1,100,1,0.02,0.01,0.01,38220
1024,4,60,1,0,1,0.02,0.01,0.01,38220
1024,4,60,1,10,1,0.02,0.01,0.02,38196
1024,4,60,1,20,1,0.02,0.01,0.01,38628
1024,4,60,1,30,1,0.02,0.01,0.01,38096
1024,4,60,1,40,1,0.02,0.01,0.01,38148
1024,4,60,1,50,1,0.02,0.00,0.02,37992
1024,4,60,1,60,1,0.02,0.00,0.02,38296
1024,4,60,1,70,1,0.02,0.01,0.01,38184
1024,4,60,1,80,1,0.02,0.01,0.01,38116
1024,4,60,1,90,1,0.02,0.01,0.01,38408
1024,4,60,1,100,1,0.02,0.01,0.01,38320
1024,4,100,1,0,1,0.03,0.01,0.01,38296
1024,4,100,1,10,1,0.03,0.01,0.01,38116
1024,4,100,1,20,1,0.02,0.01,0.01,38056
1024,4,100,1,30,1,0.03,0.01,0.01,38292
1024,4,100,1,40,1,0.03,0.01,0.01,37760
1024,4,100,1,50,1,0.02,0.01,0.01,38388
