tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
2048,16,10,0,60,48600,,,,
8192,8,10,0,90,48610,,,,
1024,4,10,0,40,48650,,,,
8192,8,10,0,30,48680,,,,
8192,16,10,0,90,48780,,,,
8192,16,10,0,20,48820,,,,
8192,8,10,0,70,48941,,,,
4096,16,10,0,10,48991,,,,
8192,8,10,0,100,49121,,,,
8192,8,10,0,0,49141,,,,
4096,16,10,0,70,49181,,,,
2048,16,10,0,0,49221,,,,
2048,16,10,0,30,49261,,,,
8192,16,10,0,70,49272,,,,
8192,16,10,0,50,49291,,,,
4096,16,10,0,40,49452,,,,
1024,4,10,0,10,49501,,,,
8192,16,10,0,0,49682,,,,
1024,2,10,0,80,49772,,,,
4096,16,10,0,20,49893,,,,
8192,16,10,0,40,50233,,,,
8192,4,10,0,0,50243,,,,
8192,16,10,0,80,50283,,,,
4096,16,10,0,30,50683,,,,
4096,2,10,0,80,50693,,,,
4096,16,10,0,0,50965,,,,
2048,2,10,0,70,51034,,,,
1024,4,10,0,50,51225,,,,
4096,4,10,0,50,51956,,,,
8192,16,10,0,100,51996,,,,
2048,2,10,0,90,52427,,,,
4096,4,10,0,90,52567,,,,
1024,64,20,0,30,52778,,,,
8192,16,10,0,30,53830,,,,
1024,64,20,0,70,54120,,,,
1024,64,30,0,0,54401,,,,
1024,64,30,0,80,54601,,,,
1024,64,20,0,10,54621,,,,
1024,64,30,0,40,54942,,,,
1024,64,30,0,90,54962,,,,
1024,64,30,0,20,55042,,,,
1024,64,30,0,70,55703,,,,
1024,64,30,0,10,55904,,,,
1024,64,30,0,50,56073,,,,
1024,64,30,0,30,56174,,,,
8192,4,10,0,100,56505,,,,
1024,16,10,0,70,57857,,,,
8192,8,10,0,40,58499,,,,
8192,2,10,0,40,58789,,,,
8192,16,10,0,10,59400,,,,
1024,64,30,0,100,59570,,,,
1024,16,10,0,0,60572,,,,
2048,2,20,0,20,60903,,,,
4096,2,20,0,40,60963,,,,
8192,2,20,0,0,61444,,,,
2048,2,20,0,0,61694,,,,
4096,2,20,0,80,61894,,,,
8192,16,10,0,60,61914,,,,
1024,2,20,0,80,62205,,,,
2048,2,20,0,40,62255,,,,
4096,2,20,0,100,62265,,,,
4096,2,20,0,0,62536,,,,
1024,2,20,0,100,62556,,,,
2048,2,20,0,90,62576,,,,
2048,16,10,0,70,62586,,,,
2048,2,20,0,80,62606,,,,
4096,2,20,0,30,62636,,,,
1024,16,10,0,50,62736,,,,
4096,2,20,0,50,62756,,,,
8192,2,20,0,60,62766,,,,
1024,4,20,0,30,62777,,,,
1024,2,20,0,70,62836,,,,
4096,2,20,0,70,62867,,,,
1024,4,20,0,40,62987,,,,
2048,2,20,0,30,63137,,,,
2048,2,20,0,10,63157,,,,
2048,2,20,0,50,63317,,,,
1024,64,30,0,60,63337,,,,
1024,64,40,0,70,63417,,,,
1024,64,40,0,10,63478,,,,
2048,4,20,0,80,63488,,,,
2048,4,20,0,60,63568,,,,
8192,2,20,0,90,63578,,,,
4096,2,20,0,10,63658,,,,
4096,2,20,0,20,63698,,,,
1024,2,20,0,0,63708,,,,
1024,64,40,0,20,63798,,,,
1024,2,20,0,30,63828,,,,
1024,4,20,0,20,63848,,,,
8192,2,20,0,20,63868,,,,
1024,4,20,0,80,63888,,,,
1024,64,40,0,80,63898,,,,
1024,4,20,0,60,63908,,,,
4096,4,20,0,10,63918,,,,
1024,4,20,0,90,64038,,,,
4096,2,20,0,90,64089,,,,
8192,2,20,0,40,64119,,,,
1024,64,40,0,100,64148,,,,
2048,2,20,0,60,64159,,,,
8192,2,20,0,100,64329,,,,
1024,64,40,0,0,64449,,,,
1024,64,40,0,30,64499,,,,
2048,4,20,0,70,64590,,,,
1024,64,40,0,60,64750,,,,
4096,2,20,0,60,64780,,,,
1024,2,20,0,60,64820,,,,
2048,4,20,0,30,64860,,,,
1024,4,20,0,10,64880,,,,
1024,2,20,0,40,64991,,,,
1024,4,20,0,70,65021,,,,
8192,2,20,0,70,65131,,,,
4096,4,20,0,40,65201,,,,
8192,2,20,0,30,65341,,,,
4096,4,20,0,100,65441,,,,
8192,2,20,0,50,65541,,,,
2048,4,20,0,50,65741,,,,
2048,8,20,0,80,65752,,,,
4096,4,20,0,20,65872,,,,
2048,4,20,0,20,65882,,,,
2048,4,20,0,10,65952,,,,
1024,64,40,0,90,65973,,,,
2048,4,20,0,90,65982,,,,
1024,2,20,0,90,66043,,,,
1024,8,20,0,60,66112,,,,
1024,64,40,0,40,66173,,,,
4096,4,20,0,30,66223,,,,
4096,4,20,0,0,66253,,,,
8192,4,20,0,10,66273,,,,
2048,4,20,0,40,66312,,,,
1024,4,20,0,50,66332,,,,
8192,4,20,0,90,66473,,,,
1024,8,20,0,40,66813,,,,
2048,8,20,0,60,66854,,,,
1024,8,20,0,50,66933,,,,
2048,8,20,0,20,66964,,,,
4096,4,20,0,80,67084,,,,
1024,8,20,0,10,67185,,,,
8192,2,20,0,80,67194,,,,
2048,8,20,0,10,67224,,,,
1024,8,20,0,0,67335,,,,
4096,8,20,0,100,67785,,,,
8192,4,20,0,100,67785,,,,
8192,8,20,0,30,67785,,,,
1024,8,20,0,90,68026,,,,
8192,4,20,0,0,68046,,,,
4096,8,20,0,30,68096,,,,
1024,8,20,0,70,68256,,,,
8192,4,20,0,50,68266,,,,
1024,8,20,0,30,68336,,,,
1024,8,20,0,20,68356,,,,
4096,8,20,0,50,68357,,,,
2048,8,20,0,0,68497,,,,
8192,8,20,0,50,68787,,,,
2048,64,10,0,50,68998,,,,
8192,8,20,0,80,69018,,,,
2048,8,20,0,30,69028,,,,
8192,4,20,0,20,69138,,,,
1024,8,20,0,80,69238,,,,
1024,32,10,0,10,69269,,,,
4096,32,10,0,50,69319,,,,
4096,8,20,0,20,69339,,,,
4096,32,10,0,40,69628,,,,
2048,32,10,0,60,69730,,,,
4096,8,20,0,90,69790,,,,
8192,8,20,0,70,69820,,,,
2048,64,10,0,80,69859,,,,
2048,8,20,0,90,69869,,,,
4096,32,10,0,80,69889,,,,
8192,8,20,0,100,69900,,,,
2048,32,10,0,10,69910,,,,
1024,32,10,0,50,69939,,,,
1024,32,10,0,100,69990,,,,
2048,8,20,0,50,70050,,,,
4096,64,10,0,70,70069,,,,
8192,2,20,0,10,70070,,,,
2048,8,20,0,40,70120,,,,
8192,8,20,0,60,70180,,,,
4096,64,10,0,40,70190,,,,
4096,8,20,0,40,70210,,,,
2048,8,20,0,70,70240,,,,
4096,64,10,0,20,70241,,,,
2048,32,10,0,90,70260,,,,
8192,8,20,0,10,70260,,,,
2048,64,10,0,30,70270,,,,
4096,32,10,0,20,70270,,,,
8192,4,20,0,70,70390,,,,
1024,32,10,0,20,70420,,,,
1024,32,10,0,80,70430,,,,
4096,64,10,0,60,70431,,,,
4096,64,10,0,10,70520,,,,
1024,32,10,0,60,70611,,,,
4096,64,10,0,30,70671,,,,
2048,32,10,0,20,70691,,,,
8192,32,10,0,40,70761,,,,
4096,32,10,0,100,71061,,,,
8192,32,10,0,60,71141,,,,
1024,64,40,0,50,71142,,,,
4096,64,10,0,50,71142,,,,
4096,32,10,0,90,71162,,,,
1024,32,10,0,0,71202,,,,
4096,32,10,0,10,71212,,,,
8192,32,10,0,20,71322,,,,
1024,32,10,0,70,71352,,,,
2048,32,10,0,40,71532,,,,
1024,32,10,0,30,71683,,,,
2048,64,10,0,90,71723,,,,
2048,64,10,0,40,71733,,,,
2048,32,10,0,100,71773,,,,
2048,64,10,0,0,71803,,,,
2048,32,10,0,30,71953,,,,
4096,8,20,0,60,71983,,,,
8192,8,20,0,0,72053,,,,
4096,8,20,0,10,72064,,,,
1024,8,20,0,100,72084,,,,
8192,64,10,0,40,72154,,,,
2048,64,10,0,100,72324,,,,
8192,8,20,0,90,72374,,,,
2048,32,10,0,0,72414,,,,
2048,32,10,0,50,72464,,,,
8192,32,10,0,90,72525,,,,
8192,64,10,0,100,72554,,,,
4096,32,10,0,30,72565,,,,
2048,64,10,0,20,72594,,,,
4096,64,10,0,0,72624,,,,
4096,64,10,0,80,72635,,,,
8192,64,10,0,20,72684,,,,
2048,64,10,0,70,72735,,,,
8192,32,10,0,0,72745,,,,
8192,8,20,0,40,72775,,,,
8192,32,10,0,70,72805,,,,
8192,64,10,0,10,72835,,,,
8192,64,10,0,60,73055,,,,
4096,64,10,0,90,73125,,,,
8192,32,10,0,80,73325,,,,
8192,64,10,0,0,73426,,,,
8192,64,10,0,30,73556,,,,
2048,32,10,0,80,73596,,,,
8192,4,20,0,40,73726,,,,
4096,32,10,0,70,73817,,,,
8192,32,10,0,30,73867,,,,
4096,4,20,0,90,74117,,,,
2048,2,20,0,100,74408,,,,
8192,32,10,0,10,74488,,,,
1024,2,20,0,10,74568,,,,
4096,4,20,0,50,74579,,,,
1024,64,50,0,40,75079,,,,
1024,2,20,0,20,75220,,,,
4096,8,20,0,0,75911,,,,
1024,64,50,0,90,76131,,,,
1024,64,50,0,70,76151,,,,
1024,64,50,0,30,76501,,,,
1024,64,50,0,50,76902,,,,
