tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
2048,16,30,1,10,370465,,,,
2048,4,30,1,70,370495,,,,
1024,8,10,1,10,370635,,,,
8192,2,30,1,90,370635,,,,
4096,8,40,1,40,370656,,,,
2048,2,40,1,30,370666,,,,
4096,64,10,1,80,370685,,,,
2048,64,50,1,40,370695,,,,
4096,8,100,1,40,370735,,,,
4096,4,30,1,30,370736,,,,
2048,16,50,1,30,370765,,,,
1024,16,40,1,20,370766,,,,
2048,8,60,1,30,370805,,,,
4096,16,20,1,100,370816,,,,
8192,4,50,1,90,370826,,,,
8192,8,100,1,60,370846,,,,
1024,16,20,1,80,370855,,,,
8192,16,50,1,20,370875,,,,
1024,8,20,1,10,370885,,,,
1024,8,10,1,40,370916,,,,
8192,4,30,1,50,370916,,,,
2048,4,30,1,90,370986,,,,
1024,8,60,1,70,371026,,,,
2048,2,50,1,60,371046,,,,
4096,64,40,1,10,371056,,,,
2048,2,100,1,40,371086,,,,
1024,16,60,1,90,371096,,,,
4096,4,30,1,20,371106,,,,
8192,8,30,1,30,371107,,,,
8192,8,50,1,90,371117,,,,
2048,4,60,1,50,371126,,,,
2048,64,20,1,80,371166,,,,
8192,32,20,1,80,371176,,,,
8192,16,10,1,40,371197,,,,
1024,8,30,1,30,371226,,,,
2048,16,10,1,70,371246,,,,
1024,64,50,1,50,371276,,,,
1024,2,100,1,10,371327,,,,
1024,2,30,1,90,371347,,,,
1024,32,20,1,50,371357,,,,
4096,64,100,1,60,371367,,,,
1024,32,20,1,60,371396,,,,
8192,4,20,1,90,371427,,,,
4096,8,100,1,30,371477,,,,
4096,32,10,1,30,371477,,,,
8192,4,10,1,90,371507,,,,
1024,8,40,1,80,371527,,,,
2048,64,30,1,20,371537,,,,
2048,4,40,1,30,371547,,,,
1024,16,20,1,60,371557,,,,
8192,4,60,1,20,371567,,,,
4096,16,50,1,90,371587,,,,
1024,2,30,1,70,371597,,,,
4096,32,30,1,60,371627,,,,
2048,32,30,1,50,371647,,,,
2048,8,20,1,30,371677,,,,
2048,64,50,1,100,371687,,,,
2048,4,40,1,40,371737,,,,
2048,16,60,1,20,371737,,,,
4096,4,20,1,40,371778,,,,
2048,16,60,1,100,371807,,,,
4096,4,30,1,60,371818,,,,
1024,64,20,1,10,371847,,,,
1024,4,10,1,70,371878,,,,
2048,64,50,1,10,371908,,,,
2048,2,100,1,70,371927,,,,
4096,32,30,1,20,371938,,,,
2048,8,40,1,100,371948,,,,
4096,4,40,1,80,371958,,,,
8192,16,50,1,90,371958,,,,
4096,64,50,1,20,371968,,,,
1024,16,50,1,80,371997,,,,
8192,16,10,1,20,371998,,,,
8192,32,60,1,80,372008,,,,
1024,4,60,1,30,372068,,,,
1024,4,20,1,80,372078,,,,
1024,8,20,1,50,372078,,,,
1024,16,10,1,30,372078,,,,
1024,4,100,1,70,372088,,,,
2048,16,30,1,40,372108,,,,
2048,16,40,1,20,372118,,,,
8192,8,10,1,80,372118,,,,
1024,4,50,1,10,372148,,,,
8192,8,40,1,90,372149,,,,
4096,2,50,1,80,372158,,,,
2048,32,30,1,90,372168,,,,
1024,64,20,1,100,372198,,,,
2048,32,10,1,70,372258,,,,
8192,4,100,1,90,372259,,,,
1024,2,40,1,80,372299,,,,
1024,8,10,1,70,372318,,,,
2048,16,20,1,0,372318,,,,
2048,2,20,1,20,372359,,,,
2048,32,10,1,100,372359,,,,
2048,2,50,1,50,372408,,,,
1024,32,20,1,10,372418,,,,
1024,64,100,1,100,372439,,,,
1024,8,40,1,40,372449,,,,
8192,4,40,1,80,372459,,,,
1024,16,30,1,20,372498,,,,
8192,32,100,1,100,372528,,,,
1024,64,40,1,60,372539,,,,
2048,8,10,1,90,372549,,,,
1024,2,60,1,30,372559,,,,
4096,8,10,1,80,372559,,,,
4096,4,60,1,60,372609,,,,
2048,64,10,1,90,372639,,,,
1024,2,60,1,0,372649,,,,
1024,64,30,1,40,372649,,,,
2048,8,20,1,60,372679,,,,
2048,8,100,1,100,372679,,,,
1024,2,40,1,100,372680,,,,
2048,4,100,1,60,372689,,,,
8192,2,40,1,10,372689,,,,
2048,8,50,1,60,372699,,,,
1024,32,50,1,60,372729,,,,
2048,16,100,1,60,372730,,,,
1024,8,10,1,80,372759,,,,
2048,4,100,1,30,372759,,,,
4096,4,60,1,30,372789,,,,
2048,16,20,1,60,372790,,,,
8192,16,30,1,50,372840,,,,
8192,32,40,1,10,372879,,,,
1024,8,30,1,80,372919,,,,
1024,64,50,1,80,372920,,,,
4096,2,20,1,10,372930,,,,
8192,4,10,1,40,372940,,,,
4096,32,40,1,20,372960,,,,
4096,32,10,1,80,372970,,,,
1024,64,30,1,50,372999,,,,
8192,2,100,1,30,373010,,,,
8192,64,10,1,70,373010,,,,
1024,64,10,1,20,373050,,,,
2048,4,10,1,60,373050,,,,
4096,8,40,1,60,373050,,,,
4096,8,20,1,70,373070,,,,
1024,16,30,1,90,373119,,,,
4096,64,100,1,40,373129,,,,
4096,2,20,1,50,373130,,,,
8192,32,40,1,80,373170,,,,
2048,2,20,1,70,373190,,,,
4096,32,100,1,50,373200,,,,
4096,4,10,1,10,373210,,,,
4096,64,60,1,20,373230,,,,
4096,2,10,1,80,373231,,,,
1024,2,20,1,60,373240,,,,
4096,64,10,1,60,373250,,,,
1024,32,10,1,0,373260,,,,
1024,4,100,1,50,373270,,,,
4096,64,30,1,80,373330,,,,
4096,16,10,1,30,373340,,,,
4096,4,30,1,100,373350,,,,
2048,64,100,1,60,373391,,,,
2048,32,50,1,40,373420,,,,
1024,4,30,1,50,373430,,,,
4096,16,30,1,50,373471,,,,
2048,32,20,1,90,373481,,,,
1024,64,10,1,100,373500,,,,
4096,4,20,1,50,373511,,,,
8192,32,50,1,90,373521,,,,
2048,16,10,1,40,373541,,,,
1024,4,20,1,30,373551,,,,
2048,32,20,1,40,373560,,,,
1024,8,20,1,90,373601,,,,
2048,4,40,1,20,373690,,,,
1024,16,40,1,30,373711,,,,
4096,4,60,1,80,373721,,,,
4096,32,20,1,60,373721,,,,
2048,16,100,1,40,373752,,,,
1024,16,40,1,40,373762,,,,
8192,8,10,1,10,373771,,,,
8192,2,10,1,50,373811,,,,
4096,32,40,1,50,373821,,,,
1024,2,10,1,100,373832,,,,
2048,16,20,1,100,373861,,,,
4096,16,20,1,60,373862,,,,
4096,32,20,1,40,373882,,,,
4096,64,100,1,90,373891,,,,
8192,32,100,1,30,373892,,,,
2048,32,50,1,10,373911,,,,
2048,64,20,1,10,373912,,,,
1024,8,20,1,70,373922,,,,
2048,8,30,1,80,373941,,,,
2048,2,60,1,50,373952,,,,
1024,2,100,1,30,373961,,,,
2048,4,100,1,40,373971,,,,
2048,4,60,1,10,374002,,,,
2048,64,100,1,50,374002,,,,
2048,2,20,1,40,374051,,,,
8192,16,40,1,50,374052,,,,
1024,16,100,1,40,374122,,,,
4096,32,50,1,70,374152,,,,
1024,8,40,1,70,374202,,,,
1024,64,20,1,60,374221,,,,
1024,32,50,1,40,374272,,,,
1024,32,60,1,40,374282,,,,
8192,4,60,1,50,374302,,,,
1024,64,60,1,30,374312,,,,
2048,64,50,1,70,374332,,,,
8192,4,20,1,60,374352,,,,
2048,64,10,1,60,374353,,,,
1024,4,20,1,40,374373,,,,
2048,64,60,1,50,374382,,,,
1024,8,10,1,100,374452,,,,
2048,2,30,1,90,374483,,,,
2048,8,10,1,20,374512,,,,
8192,16,100,1,50,374533,,,,
8192,8,40,1,60,374543,,,,
1024,2,60,1,90,374552,,,,
2048,32,30,1,70,374553,,,,
1024,4,40,1,60,374562,,,,
1024,8,10,1,30,374563,,,,
2048,32,10,1,0,374563,,,,
4096,4,40,1,40,374622,,,,
2048,8,20,1,40,374632,,,,
4096,16,100,1,30,374632,,,,
1024,64,60,1,0,374633,,,,
2048,2,10,1,20,374653,,,,
8192,16,10,1,30,374673,,,,
8192,2,20,1,90,374693,,,,
2048,32,50,1,80,374703,,,,
8192,8,40,1,20,374733,,,,
4096,64,40,1,50,374753,,,,
1024,8,40,1,20,374783,,,,
1024,32,30,1,20,374873,,,,
2048,16,20,1,30,374874,,,,
1024,64,20,1,70,374893,,,,
8192,8,100,1,10,374923,,,,
1024,8,100,1,70,374933,,,,
2048,2,20,1,100,374934,,,,
2048,64,30,1,60,374943,,,,
8192,8,50,1,30,374953,,,,
8192,4,20,1,50,374954,,,,
4096,16,100,1,10,375003,,,,
2048,32,10,1,50,375013,,,,
8192,8,20,1,100,375013,,,,
2048,32,10,1,90,375014,,,,
2048,2,50,1,20,375034,,,,
8192,4,10,1,20,375054,,,,
8192,64,50,1,100,375073,,,,
2048,32,40,1,20,375103,,,,
2048,8,50,1,40,375153,,,,
4096,2,30,1,0,375154,,,,
2048,2,100,1,80,375193,,,,
2048,2,50,1,30,375194,,,,
4096,4,100,1,10,375204,,,,
4096,64,100,1,50,375204,,,,
8192,2,100,1,10,375204,,,,
1024,4,100,1,80,375223,,,,
1024,64,100,1,10,375274,,,,
4096,2,60,1,60,375274,,,,
8192,4,30,1,40,375294,,,,
8192,8,10,1,20,375294,,,,
1024,16,40,1,0,375304,,,,
4096,32,10,1,60,375324,,,,
1024,8,60,1,30,375334,,,,
1024,4,50,1,20,375344,,,,
2048,64,30,1,70,375344,,,,
1024,8,50,1,100,375374,,,,
1024,32,10,1,50,375374,,,,
4096,8,10,1,90,375384,,,,
4096,64,10,1,70,375384,,,,
8192,16,10,1,80,375414,,,,
8192,16,20,1,30,375434,,,,
1024,2,20,1,10,375464,,,,
4096,16,30,1,100,375464,,,,
2048,16,50,1,80,375504,,,,
2048,8,10,1,80,375514,,,,
2048,4,30,1,20,375515,,,,
4096,16,40,1,70,375594,,,,
2048,64,60,1,70,375604,,,,
4096,4,30,1,70,375605,,,,
1024,64,40,1,90,375614,,,,
4096,2,30,1,90,375614,,,,
4096,4,20,1,90,375625,,,,
2048,64,60,1,40,375655,,,,
2048,4,30,1,30,375684,,,,
2048,32,50,1,70,375705,,,,
4096,32,30,1,50,375735,,,,
4096,16,100,1,70,375745,,,,
1024,32,10,1,70,375754,,,,
8192,8,40,1,50,375835,,,,
2048,8,20,1,90,375845,,,,
1024,32,30,1,90,375875,,,,
2048,2,20,1,30,375875,,,,
1024,8,60,1,40,375905,,,,
8192,64,30,1,10,375915,,,,
2048,2,20,1,50,375925,,,,
2048,32,30,1,80,375965,,,,
8192,4,30,1,80,375965,,,,
4096,16,60,1,40,375975,,,,
4096,16,20,1,90,376005,,,,
8192,64,10,1,90,376005,,,,
1024,2,100,1,70,376015,,,,
1024,16,100,1,100,376025,,,,
1024,32,40,1,40,376045,,,,
2048,4,30,1,60,376045,,,,
4096,16,10,1,100,376045,,,,
8192,2,60,1,20,376045,,,,
1024,4,40,1,20,376075,,,,
8192,4,30,1,100,376085,,,,
2048,2,10,1,10,376086,,,,
4096,2,30,1,40,376095,,,,
8192,8,60,1,80,376125,,,,
1024,64,40,1,80,376176,,,,
2048,32,50,1,60,376186,,,,
1024,32,100,1,50,376196,,,,
1024,2,20,1,30,376295,,,,
2048,64,60,1,80,376296,,,,
2048,16,10,1,90,376316,,,,
8192,4,20,1,40,376326,,,,
8192,32,100,1,40,376326,,,,
4096,2,10,1,30,376346,,,,
4096,2,10,1,90,376356,,,,
4096,32,20,1,100,376356,,,,
8192,32,10,1,100,376356,,,,
2048,2,60,1,10,376366,,,,
1024,64,10,1,50,376396,,,,
1024,4,10,1,20,376416,,,,
2048,2,50,1,10,376436,,,,
2048,2,30,1,70,376506,,,,
1024,32,30,1,100,376516,,,,
1024,4,30,1,80,376546,,,,
4096,64,20,1,20,376546,,,,
8192,8,10,1,70,376566,,,,
8192,16,50,1,10,376586,,,,
1024,2,30,1,0,376596,,,,
4096,16,20,1,10,376677,,,,
4096,64,20,1,50,376677,,,,
8192,2,60,1,30,376677,,,,
1024,16,40,1,100,376726,,,,
8192,8,30,1,60,376726,,,,
2048,16,50,1,70,376736,,,,
4096,8,60,1,40,376746,,,,
1024,4,100,1,100,376747,,,,
2048,16,30,1,30,376777,,,,
8192,64,30,1,20,376777,,,,
8192,2,40,1,70,376807,,,,
2048,32,60,1,40,376816,,,,
8192,8,10,1,60,376837,,,,
2048,16,60,1,50,376857,,,,
4096,4,10,1,80,376886,,,,
1024,16,10,1,10,376897,,,,
